"School Year","Division Number","Division Name","School Number","School Name","English Learners include Former ELs","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","75","Prince William County","480","Stonewall Middle","Y"," "," "," "," "," "," "," ","140","109","114"," "," "," "," ","363"," ","363"
"2010-2011","75","Prince William County","780","Stuart M. Beville Middle","N"," "," "," "," "," "," "," ","318","265","269"," "," "," "," ","852"," ","852"
"2010-2011","75","Prince William County","780","Stuart M. Beville Middle","Y"," "," "," "," "," "," "," ","118","91","95"," "," "," "," ","304"," ","304"
"2010-2011","75","Prince William County","20","Sudley Elementary","N"," ","49","48","24","50","39","53"," "," "," "," "," "," "," ","263"," ","263"
"2010-2011","75","Prince William County","20","Sudley Elementary","Y"," ","35","39","30","29","32","27"," "," "," "," "," "," "," ","192"," ","192"
"2010-2011","75","Prince William County","270","Suella G. Ellis Elementary","N","32","64","71","78","60","56","65"," "," "," "," "," "," "," ","426"," ","426"
"2010-2011","75","Prince William County","270","Suella G. Ellis Elementary","Y"," ","66","72","65","60","62","53"," "," "," "," "," "," "," ","378"," ","378"
"2010-2011","75","Prince William County","890","Swans Creek Elementary","N","<","71","65","88","98","100","78"," "," "," "," "," "," "," ","502"," ","502"
"2010-2011","75","Prince William County","890","Swans Creek Elementary","Y"," ","21","37","18","32","25","31"," "," "," "," "," "," "," ","164"," ","164"
"2010-2011","75","Prince William County","790","Thurgood Marshall Elementary","N"," ","66","102","103","106","109","118"," "," "," "," "," "," "," ","604"," ","604"
"2010-2011","75","Prince William County","790","Thurgood Marshall Elementary","Y"," ","<","11","<","<","<","10"," "," "," "," "," "," "," ","43"," ","43"
"2010-2011","75","Prince William County","430","Triangle Elementary","N","19","71","88","86","87","84","80"," "," "," "," "," "," "," ","515"," ","515"
"2010-2011","75","Prince William County","430","Triangle Elementary","Y"," ","38","35","34","34","34","23"," "," "," "," "," "," "," ","198"," ","198"
"2010-2011","75","Prince William County","390","Victory Elementary","N","<","137","178","138","169","143","162"," "," "," "," "," "," "," ","928"," ","928"
"2010-2011","75","Prince William County","390","Victory Elementary","Y"," ","19","42","19","25","16","16"," "," "," "," "," "," "," ","137"," ","137"
"2010-2011","75","Prince William County","540","West Gate Elementary","N","63","50","34","28","30","30","27"," "," "," "," "," "," "," ","262"," ","262"
"2010-2011","75","Prince William County","540","West Gate Elementary","Y"," ","74","76","73","70","68","57"," "," "," "," "," "," "," ","418"," ","418"
"2010-2011","75","Prince William County","740","Westridge Elementary","N"," ","76","76","106","109","92","94"," "," "," "," "," "," "," ","553"," ","553"
"2010-2011","75","Prince William County","740","Westridge Elementary","Y"," ","13","15","11","11","11","<"," "," "," "," "," "," "," ","68"," ","68"
"2010-2011","75","Prince William County","190","Woodbine Pre-School Center","N","229"," "," "," "," "," "," "," "," "," "," "," "," "," ","229"," ","229"
"2010-2011","75","Prince William County","60","Woodbridge High","N"," "," "," "," "," "," "," "," "," "," ","668","571","559","547","2,345","<","2,346"
"2010-2011","75","Prince William County","60","Woodbridge High","Y"," "," "," "," "," "," "," "," "," "," ","112","77","44","32","265"," ","265"
"2010-2011","75","Prince William County","560","Woodbridge Middle","N"," "," "," "," "," "," "," ","258","268","253"," "," "," "," ","779"," ","779"
"2010-2011","75","Prince William County","560","Woodbridge Middle","Y"," "," "," "," "," "," "," ","89","94","76"," "," "," "," ","259"," ","259"
"2010-2011","75","Prince William County","350","Yorkshire Elementary","N","17","70","78","43","53","62","68"," "," "," "," "," "," "," ","391"," ","391"
"2010-2011","75","Prince William County","350","Yorkshire Elementary","Y"," ","92","68","71","75","68","62"," "," "," "," "," "," "," ","436"," ","436"
"2010-2011","77","Pulaski County","20","Critzer Elementary","N","28","68","81","66","66","83","81"," "," "," "," "," "," "," ","473"," ","473"
"2010-2011","77","Pulaski County","20","Critzer Elementary","Y"," ","<","<"," ","<","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","77","Pulaski County","540","Dublin Elementary","N","43","86","73","71","63","84","96"," "," "," "," "," "," "," ","516"," ","516"
"2010-2011","77","Pulaski County","540","Dublin Elementary","Y"," ","<","<"," ","<","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","77","Pulaski County","530","Dublin Middle","N"," "," "," "," "," "," "," ","216","173","181"," "," "," "," ","570"," ","570"
"2010-2011","77","Pulaski County","10","Pulaski County Senior High","N"," "," "," "," "," "," "," "," "," "," ","395","359","348","385","1,487"," ","1,487"
"2010-2011","77","Pulaski County","10","Pulaski County Senior High","Y"," "," "," "," "," "," "," "," "," "," "," "," "," ","<","<"," ","<"
"2010-2011","77","Pulaski County","230","Pulaski Elementary","N","<","75","87","80","79","102","101"," "," "," "," "," "," "," ","532"," ","532"
"2010-2011","77","Pulaski County","230","Pulaski Elementary","Y"," ","<","<","<","<","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","77","Pulaski County","460","Pulaski Middle","N"," "," "," "," "," "," "," ","152","159","143"," "," "," "," ","454"," ","454"
"2010-2011","77","Pulaski County","460","Pulaski Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","<"," ","<"
"2010-2011","77","Pulaski County","500","Riverlawn Elementary","N","20","63","68","66","68","61","72"," "," "," "," "," "," "," ","418"," ","418"
"2010-2011","77","Pulaski County","500","Riverlawn Elementary","Y"," ","<"," ","<"," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","77","Pulaski County","430","Snowville Elementary","N","16","26","32","30","29","32","41"," "," "," "," "," "," "," ","206"," ","206"
"2010-2011","122","Radford City","10","Belle Heth Elementary","N"," "," "," "," ","115","130","123","121"," "," "," "," "," "," ","489"," ","489"
"2010-2011","122","Radford City","10","Belle Heth Elementary","Y"," "," "," "," "," "," "," ","<"," "," "," "," "," "," ","<"," ","<"
"2010-2011","122","Radford City","42","John N. Dalton Intermediate","N"," "," "," "," "," "," "," "," ","123","123"," "," "," "," ","246"," ","246"
"2010-2011","122","Radford City","42","John N. Dalton Intermediate","Y"," "," "," "," "," "," "," "," ","<"," "," "," "," "," ","<"," ","<"
"2010-2011","122","Radford City","20","McHarg Elementary","N","31","112","118","114"," "," "," "," "," "," "," "," "," "," ","375"," ","375"
"2010-2011","122","Radford City","20","McHarg Elementary","Y"," "," ","<"," "," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","122","Radford City","41","Radford High","N"," "," "," "," "," "," "," "," "," "," ","126","102","107","116","451"," ","451"
"2010-2011","122","Radford City","41","Radford High","Y"," "," "," "," "," "," "," "," "," "," "," "," ","<"," ","<"," ","<"
"2010-2011","78","Rappahannock County","240","Rappahannock County Elementary","N"," ","62","80","61","60","73","73","68","70"," "," "," "," "," ","547"," ","547"
"2010-2011","78","Rappahannock County","230","Rappahannock County High","N"," "," "," "," "," "," "," "," "," ","82","84","78","51","86","381"," ","381"
"2010-2011","123","Richmond City","30","Albert Hill Middle","N"," "," "," "," "," "," "," ","158","168","173"," "," "," "," ","499"," ","499"
"2010-2011","123","Richmond City","30","Albert Hill Middle","Y"," "," "," "," "," "," "," ","<"," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","750","Amelia Street Special Education","N","12","<","<","<","<","<","<","<","<","<","<","<","<","13","78"," ","78"
"2010-2011","123","Richmond City","850","Armstrong High","N"," "," "," "," "," "," "," "," "," "," ","326","248","293","195","1,062"," ","1,062"
"2010-2011","123","Richmond City","100","Bellevue Elementary","N","80","45","46","34","42","42","28"," "," "," "," "," "," "," ","317"," ","317"
"2010-2011","123","Richmond City","100","Bellevue Elementary","Y"," ","<"," ","<"," "," ","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","50","Binford Middle","N"," "," "," "," "," "," "," ","117","145","160"," "," "," "," ","422"," ","422"
"2010-2011","123","Richmond City","170","Blackwell Elementary","N","224","102","93","76","83","98","73"," "," "," "," "," "," "," ","749"," ","749"
"2010-2011","123","Richmond City","170","Blackwell Elementary","Y","<","<"," "," "," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","1100","Broad Rock Elementary","N","49","37","30","48","41","55","48"," "," "," "," "," "," "," ","308"," ","308"
"2010-2011","123","Richmond City","1100","Broad Rock Elementary","Y","<","13","10","11","<","<","<"," "," "," "," "," "," "," ","51"," ","51"
"2010-2011","123","Richmond City","830","Chimborazo Elementary","N","68","88","78","81","71","82","85"," "," "," "," "," "," "," ","553"," ","553"
"2010-2011","123","Richmond City","810","Clark Springs Elementary","N","30","65","59","64","49","45","52"," "," "," "," "," "," "," ","364"," ","364"
"2010-2011","123","Richmond City","810","Clark Springs Elementary","Y"," "," ","<"," ","<"," ","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","1440","E.S.H. Greene Elementary","N","23","38","37","31","34","39","34"," "," "," "," "," "," "," ","236"," ","236"
"2010-2011","123","Richmond City","1440","E.S.H. Greene Elementary","Y"," ","54","48","31","17","27","19"," "," "," "," "," "," "," ","196"," ","196"
"2010-2011","123","Richmond City","1400","Elizabeth D. Redd Elementary","N","38","84","64","56","53","54","54"," "," "," "," "," "," "," ","403"," ","403"
"2010-2011","123","Richmond City","1400","Elizabeth D. Redd Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","22"," ","22"
"2010-2011","123","Richmond City","1080","Elkhardt Middle","N"," "," "," "," "," "," "," ","123","120","136"," "," "," "," ","379"," ","379"
"2010-2011","123","Richmond City","1080","Elkhardt Middle","Y"," "," "," "," "," "," "," ","31","14","21"," "," "," "," ","66"," ","66"
"2010-2011","123","Richmond City","710","Fairfield Court Elementary","N","85","111","79","75","80","65","69"," "," "," "," "," "," "," ","564"," ","564"
"2010-2011","123","Richmond City","621","Franklin Military Academy","N"," "," "," "," "," "," "," ","92","84"," ","53","62","36","47","374"," ","374"
"2010-2011","123","Richmond City","621","Franklin Military Academy","Y"," "," "," "," "," "," "," ","<"," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","1630","Fred D. Thompson Middle","N"," "," "," "," "," "," "," ","164","217","178"," "," "," "," ","559"," ","559"
"2010-2011","123","Richmond City","1630","Fred D. Thompson Middle","Y"," "," "," "," "," "," "," ","<","<"," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","1470","G.H. Reid Elementary","N","50","82","62","71","72","71","63"," "," "," "," "," "," "," ","471"," ","471"
"2010-2011","123","Richmond City","1470","G.H. Reid Elementary","Y","11","19","23","26","15","14","<"," "," "," "," "," "," "," ","114"," ","114"
"2010-2011","123","Richmond City","290","George Mason Elementary","N","72","66","73","83","81","75","67"," "," "," "," "," "," "," ","517"," ","517"
"2010-2011","123","Richmond City","290","George Mason Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","14"," ","14"
"2010-2011","123","Richmond City","311","George W. Carver Elementary","N","96","81","94","77","76","57","80"," "," "," "," "," "," "," ","561"," ","561"
"2010-2011","123","Richmond City","741","George Wythe High","N"," "," "," "," "," "," "," "," "," "," ","294","235","222","250","1,001"," ","1,001"
"2010-2011","123","Richmond City","741","George Wythe High","Y"," "," "," "," "," "," "," "," "," "," ","<"," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","230","Ginter Park Elementary","N","77","73","75","82","79","90","77"," "," "," "," "," "," "," ","553"," ","553"
"2010-2011","123","Richmond City","470","Henderson Middle","N"," "," "," "," "," "," "," ","173","191","226"," "," "," "," ","590"," ","590"
"2010-2011","123","Richmond City","470","Henderson Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","14"," ","14"
"2010-2011","123","Richmond City","1510","Huguenot High","N"," "," "," "," "," "," "," "," "," "," ","303","264","255","263","1,085"," ","1,085"
"2010-2011","123","Richmond City","1510","Huguenot High","Y"," "," "," "," "," "," "," "," "," "," ","28","30","15","12","85"," ","85"
"2010-2011","123","Richmond City","1640","J.B. Fisher Elementary","N","27","46","43","45","50","56","52"," "," "," "," "," "," "," ","319"," ","319"
"2010-2011","123","Richmond City","1640","J.B. Fisher Elementary","Y"," "," ","<","<"," ","<","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","390","J.E.B. Stuart Elementary","N","51","50","34","47","48","44","36"," "," "," "," "," "," "," ","310"," ","310"
"2010-2011","123","Richmond City","1710","J.L. Francis Elementary","N","34","67","77","70","74","67","56"," "," "," "," "," "," "," ","445"," ","445"
"2010-2011","123","Richmond City","1710","J.L. Francis Elementary","Y","10","12","<","10","11","<","<"," "," "," "," "," "," "," ","66"," ","66"
"2010-2011","123","Richmond City","600","John B. Cary Elementary","N"," ","45","34","30","31","29","38"," "," "," "," "," "," "," ","207"," ","207"
"2010-2011","123","Richmond City","600","John B. Cary Elementary","Y"," ","<","<","<"," ","<","<"," "," "," "," "," "," "," ","12"," ","12"
"2010-2011","123","Richmond City","730","John Marshall High","N"," "," "," "," "," "," "," "," "," "," ","239","251","232","234","956"," ","956"
"2010-2011","123","Richmond City","3106","Linwood Holton Elementary","N","58","93","94","89","82","84","58"," "," "," "," "," "," "," ","558"," ","558"
"2010-2011","123","Richmond City","3106","Linwood Holton Elementary","Y"," ","<","<","<","<"," ","<"," "," "," "," "," "," "," ","11"," ","11"
"2010-2011","123","Richmond City","3105","Lucille M. Brown Middle","N"," "," "," "," "," "," "," ","244","245","221"," "," "," "," ","710"," ","710"
"2010-2011","123","Richmond City","3105","Lucille M. Brown Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","17"," ","17"
"2010-2011","123","Richmond City","770","Martin Luther King Jr. Middle","N"," "," "," "," "," "," "," ","285","241","204"," "," "," "," ","730"," ","730"
"2010-2011","123","Richmond City","770","Martin Luther King Jr. Middle","Y"," "," "," "," "," "," "," ","<"," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","580","Mary Munford Elementary","N"," ","99","96","95","77","77","64"," "," "," "," "," "," "," ","508"," ","508"
"2010-2011","123","Richmond City","580","Mary Munford Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","690","Maymont Elementary","N","235"," "," "," "," "," "," "," "," "," "," "," "," "," ","235"," ","235"
"2010-2011","123","Richmond City","3107","Miles Jones Elementary","N","53","63","63","56","69","67","69"," "," "," "," "," "," "," ","440"," ","440"
"2010-2011","123","Richmond City","3107","Miles Jones Elementary","Y","10","20","15","20","11","18","12"," "," "," "," "," "," "," ","106"," ","106"
"2010-2011","123","Richmond City","330","Oak Grove/Bellemeade Elementary","N","50","67","54","64","56","67","47"," "," "," "," "," "," "," ","405"," ","405"
"2010-2011","123","Richmond City","330","Oak Grove/Bellemeade Elementary","Y","<"," "," "," "," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","90","Open High","N"," "," "," "," "," "," "," "," "," "," ","57","39","52","40","188"," ","188"
"2010-2011","123","Richmond City","90","Open High","Y"," "," "," "," "," "," "," "," "," "," ","<"," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","130","Overby-Sheppard Elementary","N","61","49","56","40","46","44","66"," "," "," "," "," "," "," ","362"," ","362"
"2010-2011","123","Richmond City","3119","Patrick Henry School Of Science And Arts","N"," ","55","26","31","15","12","<"," "," "," "," "," "," "," ","145"," ","145"
"2010-2011","123","Richmond City","3119","Patrick Henry School Of Science And Arts","Y"," "," ","<"," "," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","3110","Richmond Alternative","N"," "," "," "," "," "," "," ","<","28","66","82","50","35"," ","268"," ","268"
"2010-2011","123","Richmond City","452","Richmond Community High","N"," "," "," "," "," "," "," "," "," "," ","79","73","58","62","272"," ","272"
"2010-2011","123","Richmond City","1480","Southampton Elementary","N","55","83","68","59","58","53","80"," "," "," "," "," "," "," ","456"," ","456"
"2010-2011","123","Richmond City","1480","Southampton Elementary","Y","10","10","<","<","<","<","<"," "," "," "," "," "," "," ","51"," ","51"
"2010-2011","123","Richmond City","510","Summer Hill/Ruffin Road Elementary","N","19","50","52","69","56","58","63"," "," "," "," "," "," "," ","367"," ","367"
"2010-2011","123","Richmond City","510","Summer Hill/Ruffin Road Elementary","Y"," ","30","33","22","22","20","12"," "," "," "," "," "," "," ","139"," ","139"
"2010-2011","123","Richmond City","210","Swansboro Elementary","N","40","41","44","52","46","40","55"," "," "," "," "," "," "," ","318"," ","318"
"2010-2011","123","Richmond City","210","Swansboro Elementary","Y","<"," "," "," "," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","480","Thomas C. Boushall Middle","N"," "," "," "," "," "," "," ","138","136","144"," "," "," "," ","418"," ","418"
"2010-2011","123","Richmond City","480","Thomas C. Boushall Middle","Y"," "," "," "," "," "," "," ","10"," ","<"," "," "," "," ","11"," ","11"
"2010-2011","123","Richmond City","20","Thomas Jefferson High","N"," "," "," "," "," "," "," "," "," "," ","238","210","195","176","819"," ","819"
"2010-2011","123","Richmond City","20","Thomas Jefferson High","Y"," "," "," "," "," "," "," "," "," "," ","<","11","<","<","23"," ","23"
"2010-2011","123","Richmond City","660","Westover Hills Elementary","N","36","39","43","46","31","61","39"," "," "," "," "," "," "," ","295"," ","295"
"2010-2011","123","Richmond City","660","Westover Hills Elementary","Y","<","<","<","<","<","<","<"," "," "," "," "," "," "," ","25"," ","25"
"2010-2011","123","Richmond City","200","William Fox Elementary","N"," ","83","74","73","74","74","55"," "," "," "," "," "," "," ","433"," ","433"
"2010-2011","123","Richmond City","200","William Fox Elementary","Y"," ","<","<","<","<"," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","123","Richmond City","650","Woodville Elementary","N","76","87","102","71","80","65","66"," "," "," "," "," "," "," ","547"," ","547"
"2010-2011","123","Richmond City","650","Woodville Elementary","Y"," "," ","<","<","<"," ","<"," "," "," "," "," "," "," ","17"," ","17"
"2010-2011","79","Richmond County","210","Rappahannock High","N"," "," "," "," "," "," "," "," "," "," ","98","107","71","81","357"," ","357"
"2010-2011","79","Richmond County","210","Rappahannock High","Y"," "," "," "," "," "," "," "," "," "," ","<","<","<","<","13"," ","13"
"2010-2011","79","Richmond County","20","Richmond County Elementary","N"," ","96","92","78","91","85","86"," "," "," "," "," "," "," ","528"," ","528"
"2010-2011","79","Richmond County","20","Richmond County Elementary","Y"," ","<","11","<","<","<","<"," "," "," "," "," "," "," ","49"," ","49"
"2010-2011","79","Richmond County","190","Richmond County Intermediate","N"," "," "," "," "," "," "," ","97","73","80"," "," "," "," ","250"," ","250"
"2010-2011","79","Richmond County","190","Richmond County Intermediate","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","17"," ","17"
"2010-2011","124","Roanoke City","280","Addison Aerospace Magnet Middle","N"," "," "," "," "," "," "," ","177","169","146"," "," "," "," ","492"," ","492"
"2010-2011","124","Roanoke City","280","Addison Aerospace Magnet Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","19"," ","19"
"2010-2011","124","Roanoke City","210","Breckinridge Middle","N"," "," "," "," "," "," "," ","172","182","213"," "," "," "," ","567"," ","567"
"2010-2011","124","Roanoke City","210","Breckinridge Middle","Y"," "," "," "," "," "," "," ","<","16","<"," "," "," "," ","34"," ","34"
"2010-2011","124","Roanoke City","20","Crystal Spring Elementary","N","36","60","69","73","56","59","54"," "," "," "," "," "," "," ","407"," ","407"
"2010-2011","124","Roanoke City","20","Crystal Spring Elementary","Y"," "," ","<"," "," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","124","Roanoke City","410","Fairview Elementary","N","35","59","63","57","86","85","68"," "," "," "," "," "," "," ","453"," ","453"
"2010-2011","124","Roanoke City","410","Fairview Elementary","Y"," ","<","<","<","15","<","<"," "," "," "," "," "," "," ","51"," ","51"
"2010-2011","124","Roanoke City","50","Fallon Park Elementary","N","49","90","80","71","74","70","69"," "," "," "," "," "," "," ","503"," ","503"
"2010-2011","124","Roanoke City","50","Fallon Park Elementary","Y"," ","13","16","19","21","21","12"," "," "," "," "," "," "," ","102"," ","102"
"2010-2011","124","Roanoke City","380","Fishburn Park Elementary","N","62","48","36","36","38","46","42"," "," "," "," "," "," "," ","308"," ","308"
"2010-2011","124","Roanoke City","380","Fishburn Park Elementary","Y"," "," "," ","<","<","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","124","Roanoke City","300","Garden City Elementary","N","26","60","70","44","44","45","43"," "," "," "," "," "," "," ","332"," ","332"
"2010-2011","124","Roanoke City","300","Garden City Elementary","Y"," "," ","<"," ","<","<","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","124","Roanoke City","310","Grandin Court Elementary","N"," ","61","58","64","55","49","60"," "," "," "," "," "," "," ","347"," ","347"
"2010-2011","124","Roanoke City","310","Grandin Court Elementary","Y"," ","<"," ","<","<","<","<"," "," "," "," "," "," "," ","13"," ","13"
"2010-2011","124","Roanoke City","110","Highland Park Elementary","N","17","37","40","53","90","78","87"," "," "," "," "," "," "," ","402"," ","402"
"2010-2011","124","Roanoke City","110","Highland Park Elementary","Y"," ","<","<","<"," ","<","<"," "," "," "," "," "," "," ","13"," ","13"
"2010-2011","124","Roanoke City","320","Huff Lane Intermediate","N","56","60","68","44","41","42","59"," "," "," "," "," "," "," ","370"," ","370"
"2010-2011","124","Roanoke City","320","Huff Lane Intermediate","Y"," ","30","26","21","15","10","11"," "," "," "," "," "," "," ","113"," ","113"
"2010-2011","124","Roanoke City","420","Hurt Park Elementary","N","36","43","41","38","25","32","30"," "," "," "," "," "," "," ","245"," ","245"
"2010-2011","124","Roanoke City","420","Hurt Park Elementary","Y"," ","<","<","<","<","<","13"," "," "," "," "," "," "," ","37"," ","37"
"2010-2011","124","Roanoke City","450","James Madison Middle","N"," "," "," "," "," "," "," ","202","168","195"," "," "," "," ","565"," ","565"
"2010-2011","124","Roanoke City","450","James Madison Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","<"," ","<"
"2010-2011","124","Roanoke City","340","Lincoln Terrace Elementary","N"," ","31","48","28","28","33","24"," "," "," "," "," "," "," ","192"," ","192"
"2010-2011","124","Roanoke City","340","Lincoln Terrace Elementary","Y"," "," "," "," "," ","<","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","124","Roanoke City","370","Monterey Elementary","N","38","68","65","67","71","72","72"," "," "," "," "," "," "," ","453"," ","453"
"2010-2011","124","Roanoke City","370","Monterey Elementary","Y"," ","20","22","19","18","12","24"," "," "," "," "," "," "," ","115"," ","115"
"2010-2011","124","Roanoke City","60","Morningside Elementary","N","39","32","47","43","27","45","34"," "," "," "," "," "," "," ","267"," ","267"
"2010-2011","124","Roanoke City","60","Morningside Elementary","Y"," ","<"," "," ","<","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","124","Roanoke City","390","Patrick Henry High","N"," "," "," "," "," "," "," "," "," "," ","571","435","458","438","1,902"," ","1,902"
"2010-2011","124","Roanoke City","390","Patrick Henry High","Y"," "," "," "," "," "," "," "," "," "," ","37","30","29","22","118"," ","118"
"2010-2011","124","Roanoke City","240","Preston Park Elementary","N","17","55","46","55","36","46","33"," "," "," "," "," "," "," ","288"," ","288"
"2010-2011","124","Roanoke City","240","Preston Park Elementary","Y"," ","<","13","14","<","<","<"," "," "," "," "," "," "," ","49"," ","49"
"2010-2011","124","Roanoke City","220","Roanoke Academy For Mathematics & Science Elementary","N","127","65","56","54","57","58","66"," "," "," "," "," "," "," ","483"," ","483"
"2010-2011","124","Roanoke City","220","Roanoke Academy For Mathematics & Science Elementary","Y"," "," "," "," ","<","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","124","Roanoke City","230","Stonewall Jackson Middle","N"," "," "," "," "," "," "," ","132","108","146"," "," "," "," ","386"," ","386"
"2010-2011","124","Roanoke City","230","Stonewall Jackson Middle","Y"," "," "," "," "," "," "," ","49","39","40"," "," "," "," ","128"," ","128"
"2010-2011","124","Roanoke City","70","Virginia Heights Elementary","N","38","40","55","52","39","37","27"," "," "," "," "," "," "," ","288"," ","288"
"2010-2011","124","Roanoke City","70","Virginia Heights Elementary","Y"," ","<","<","10","11","14","18"," "," "," "," "," "," "," ","66"," ","66"
"2010-2011","124","Roanoke City","90","Wasena Elementary","N","18","34","42","41","32","40","32"," "," "," "," "," "," "," ","239"," ","239"
"2010-2011","124","Roanoke City","90","Wasena Elementary","Y"," "," "," "," ","<"," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","124","Roanoke City","350","Westside Elementary","N","36","92","92","80","68","68","82"," "," "," "," "," "," "," ","518"," ","518"
"2010-2011","124","Roanoke City","350","Westside Elementary","Y"," ","17","10","10","11","12","10"," "," "," "," "," "," "," ","70"," ","70"
"2010-2011","124","Roanoke City","400","William Fleming High","N"," "," "," "," "," "," "," "," "," "," ","396","406","360","304","1,466","<","1,467"
"2010-2011","124","Roanoke City","400","William Fleming High","Y"," "," "," "," "," "," "," "," "," "," ","30","28","27","33","118"," ","118"
"2010-2011","124","Roanoke City","150","Woodrow Wilson Middle","N"," "," "," "," "," "," "," ","177","147","152"," "," "," "," ","476"," ","476"
"2010-2011","124","Roanoke City","150","Woodrow Wilson Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","16"," ","16"
"2010-2011","80","Roanoke County","420","Back Creek Elementary","N","<","49","50","43","54","55","60"," "," "," "," "," "," "," ","318"," ","318"
"2010-2011","80","Roanoke County","420","Back Creek Elementary","Y"," ","<"," ","<"," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","80","Roanoke County","752","Bonsack Elementary","N","16","65","79","72","66","75","84"," "," "," "," "," "," "," ","457"," ","457"
"2010-2011","80","Roanoke County","752","Bonsack Elementary","Y"," ","<"," ","<","<"," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","80","Roanoke County","180","Burlington Elementary","N","11","70","70","69","64","68","78"," "," "," "," "," "," "," ","430"," ","430"
"2010-2011","80","Roanoke County","180","Burlington Elementary","Y"," ","<","<","<","<","10","<"," "," "," "," "," "," "," ","33"," ","33"
"2010-2011","80","Roanoke County","560","Cave Spring Elementary","N","12","57","67","53","79","70","84"," "," "," "," "," "," "," ","422"," ","422"
"2010-2011","80","Roanoke County","560","Cave Spring Elementary","Y"," ","<","<","<","<","<","<"," "," "," "," "," "," "," ","15"," ","15"
"2010-2011","80","Roanoke County","470","Cave Spring High","N"," "," "," "," "," "," "," "," "," "," ","206","189","223","192","810"," ","810"
"2010-2011","80","Roanoke County","470","Cave Spring High","Y"," "," "," "," "," "," "," "," "," "," ","<","<","<","<","22"," ","22"
"2010-2011","80","Roanoke County","620","Cave Spring Middle","N"," "," "," "," "," "," "," ","206","206","203"," "," "," "," ","615"," ","615"
"2010-2011","80","Roanoke County","620","Cave Spring Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","18"," ","18"
"2010-2011","80","Roanoke County","330","Clearbrook Elementary","N","11","38","37","44","38","39","31"," "," "," "," "," "," "," ","238"," ","238"
"2010-2011","80","Roanoke County","330","Clearbrook Elementary","Y"," "," ","<","<","<","<","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","80","Roanoke County","40","Fort Lewis Elementary","N","<","47","37","40","38","34","37"," "," "," "," "," "," "," ","241"," ","241"
"2010-2011","80","Roanoke County","650","Glen Cove Elementary","N","17","63","72","82","54","76","73"," "," "," "," "," "," "," ","437"," ","437"
"2010-2011","80","Roanoke County","650","Glen Cove Elementary","Y"," "," ","<","<","<","<","<"," "," "," "," "," "," "," ","15"," ","15"
