"School Year","Division Number","Division Name","School Number","School Name","English Learners include Former ELs","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","101","Alexandria City","30","Mount Vernon Elementary","N","19","75","87","49","60","38","42"," "," "," "," "," "," "," ","370"," ","370"
"2010-2011","101","Alexandria City","30","Mount Vernon Elementary","Y"," ","75","57","50","55","58","37"," "," "," "," "," "," "," ","332"," ","332"
"2010-2011","101","Alexandria City","50","Patrick Henry Elementary","N"," ","64","46","43","44","42","45"," "," "," "," "," "," "," ","284"," ","284"
"2010-2011","101","Alexandria City","50","Patrick Henry Elementary","Y"," ","36","25","20","30","25","19"," "," "," "," "," "," "," ","155"," ","155"
"2010-2011","101","Alexandria City","333","Samuel W. Tucker Elementary","N"," ","100","91","65","73","59","53"," "," "," "," "," "," "," ","441"," ","441"
"2010-2011","101","Alexandria City","333","Samuel W. Tucker Elementary","Y"," ","36","37","54","37","45","32"," "," "," "," "," "," "," ","241"," ","241"
"2010-2011","101","Alexandria City","210","T.C. Williams High","N"," "," "," "," "," "," "," "," "," "," ","599","612","611","613","2,435"," ","2,435"
"2010-2011","101","Alexandria City","210","T.C. Williams High","Y"," "," "," "," "," "," "," "," "," "," ","169","170","175","113","627"," ","627"
"2010-2011","101","Alexandria City","190","William Ramsay Elementary","N"," ","66","51","34","46","35","44"," "," "," "," "," "," "," ","276"," ","276"
"2010-2011","101","Alexandria City","190","William Ramsay Elementary","Y"," ","75","70","75","70","82","54"," "," "," "," "," "," "," ","426"," ","426"
"2010-2011","3","Alleghany County","310","Alleghany High","N"," "," "," "," "," "," "," "," "," "," ","230","240","178","207","855"," ","855"
"2010-2011","3","Alleghany County","310","Alleghany High","Y"," "," "," "," "," "," "," "," "," "," ","<","<","<","<","<"," ","<"
"2010-2011","3","Alleghany County","280","Boiling Spring Elementary","N","<","26","16","13","17","30","22"," "," "," "," "," "," "," ","125"," ","125"
"2010-2011","3","Alleghany County","110","Callaghan Elementary","N","14","43","25","34","30","34","28"," "," "," "," "," "," "," ","208"," ","208"
"2010-2011","3","Alleghany County","110","Callaghan Elementary","Y"," ","<"," "," ","<"," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","3","Alleghany County","1040","Clifton Middle","N"," "," "," "," "," "," "," ","207","235","232"," "," "," "," ","674"," ","674"
"2010-2011","3","Alleghany County","1040","Clifton Middle","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","<"," ","<"
"2010-2011","3","Alleghany County","20","Falling Spring Elementary","N"," ","26","26","23","28","21","29"," "," "," "," "," "," "," ","153"," ","153"
"2010-2011","3","Alleghany County","20","Falling Spring Elementary","Y"," ","<","<"," "," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","3","Alleghany County","1041","Mountain View Elementary","N","17","129","75","79","72","96","109"," "," "," "," "," "," "," ","577"," ","577"
"2010-2011","3","Alleghany County","1041","Mountain View Elementary","Y"," ","<"," "," "," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","3","Alleghany County","90","Sharon Elementary","N","19","39","23","31","21","29","31"," "," "," "," "," "," "," ","193"," ","193"
"2010-2011","3","Alleghany County","90","Sharon Elementary","Y"," "," "," ","<"," "," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","4","Amelia County","220","Amelia County Elementary","N","37","115","116","114","144","155"," "," "," "," "," "," "," "," ","681"," ","681"
"2010-2011","4","Amelia County","220","Amelia County Elementary","Y"," "," ","<","<","<","<"," "," "," "," "," "," "," "," ","13"," ","13"
"2010-2011","4","Amelia County","10","Amelia County High","N"," "," "," "," "," "," "," "," "," "," ","160","144","128","114","546"," ","546"
"2010-2011","4","Amelia County","210","Amelia County Middle","N"," "," "," "," "," "," ","130","139","160","144"," "," "," "," ","573"," ","573"
"2010-2011","4","Amelia County","210","Amelia County Middle","Y"," "," "," "," "," "," "," "," "," ","<"," "," "," "," ","<"," ","<"
"2010-2011","5","Amherst County","780","Amelon Elementary","N","29","71","72","83","66","62","79"," "," "," "," "," "," "," ","462"," ","462"
"2010-2011","5","Amherst County","780","Amelon Elementary","Y"," "," "," "," "," ","<"," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","5","Amherst County","750","Amherst County High","N"," "," "," "," "," "," "," "," "," "," ","393","392","351","364","1,500"," ","1,500"
"2010-2011","5","Amherst County","750","Amherst County High","Y"," "," "," "," "," "," "," "," "," "," "," "," ","<","<","<"," ","<"
"2010-2011","5","Amherst County","790","Amherst Elementary","N","<","53","50","43","57","61","58"," "," "," "," "," "," "," ","325"," ","325"
"2010-2011","5","Amherst County","790","Amherst Elementary","Y"," "," "," ","<"," "," ","<"," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","5","Amherst County","670","Amherst Middle","N"," "," "," "," "," "," "," ","144","149","145"," "," "," "," ","438"," ","438"
"2010-2011","5","Amherst County","770","Central Elementary","N","60","32","34","35","37","47","54"," "," "," "," "," "," "," ","299"," ","299"
"2010-2011","5","Amherst County","770","Central Elementary","Y"," "," "," "," ","<"," "," "," "," "," "," "," "," "," ","<"," ","<"
"2010-2011","5","Amherst County","760","Elon Elementary","N","27","42","41","30","41","45","48"," "," "," "," "," "," "," ","274"," ","274"
"2010-2011","5","Amherst County","760","Elon Elementary","Y"," "," "," ","<","<"," "," "," "," "," "," "," "," "," ","<"," ","<"
