"School Year","Division Number","Division Name","School Number","School Name","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2013-2014","43","Henrico County","90","Ridge Elementary","7","96","88","96","76","73","71"," "," "," "," "," "," "," ","507"," ","507"
"2013-2014","43","Henrico County","240","Rivers Edge Elementary","3","87","86","102","101","106","120"," "," "," "," "," "," "," ","605"," ","605"
"2013-2014","43","Henrico County","650","Ruby F. Carver Elementary"," ","95","99","88","84","76","85"," "," "," "," "," "," "," ","527"," ","527"
"2013-2014","43","Henrico County","220","Sandston Elementary","37","39","29","38","24","29","22"," "," "," "," "," "," "," ","218"," ","218"
"2013-2014","43","Henrico County","550","Seven Pines Elementary","7","94","103","83","81","71","79"," "," "," "," "," "," "," ","518"," ","518"
"2013-2014","43","Henrico County","710","Shady Grove Elementary","12","98","127","127","132","149","113"," "," "," "," "," "," "," ","758"," ","758"
"2013-2014","43","Henrico County","60","Short Pump Elementary"," ","90","96","95","101","109","114"," "," "," "," "," "," "," ","605"," ","605"
"2013-2014","43","Henrico County","80","Short Pump Middle"," "," "," "," "," "," "," ","242","269","286"," "," "," "," ","797"," ","797"
"2013-2014","43","Henrico County","480","Skipwith Elementary","49","82","97","87","71","62","74"," "," "," "," "," "," "," ","522"," ","522"
"2013-2014","43","Henrico County","230","Springfield Park Elementary","12","119","106","127","119","100","110"," "," "," "," "," "," "," ","693"," ","693"
"2013-2014","43","Henrico County","10","Three Chopt Elementary","33","30","33","32","30","72","52"," "," "," "," "," "," "," ","282"," ","282"
"2013-2014","43","Henrico County","360","Tuckahoe Elementary","9","123","127","133","117","129","101"," "," "," "," "," "," "," ","739"," ","739"
"2013-2014","43","Henrico County","520","Tuckahoe Middle"," "," "," "," "," "," "," ","364","357","361"," "," "," "," ","1,082"," ","1,082"
"2013-2014","43","Henrico County","310","Twin Hickory Elementary","10","109","111","103","114","132","110"," "," "," "," "," "," "," ","689"," ","689"
"2013-2014","43","Henrico County","290","Varina Elementary"," "," "," "," ","107","110","120"," "," "," "," "," "," "," ","337"," ","337"
"2013-2014","43","Henrico County","580","Varina High"," "," "," "," "," "," "," "," "," "," ","449","458","408","409","1,724"," ","1,724"
"2013-2014","44","Henry County","361","Axton Elementary","31","65","70","60","67","69","66"," "," "," "," "," "," "," ","428"," ","428"
"2013-2014","44","Henry County","10","Bassett High"," "," "," "," "," "," "," "," "," "," ","304","297","266","304","1,171"," ","1,171"
"2013-2014","44","Henry County","590","Campbell Court Elementary","36","55","57","61","61","57","54"," "," "," "," "," "," "," ","381"," ","381"
"2013-2014","44","Henry County","480","Carver Elementary","39","88","78","81","83","71","71"," "," "," "," "," "," "," ","511"," ","511"
"2013-2014","44","Henry County","662","Collinsville Primary","63","92","103","101"," "," "," "," "," "," "," "," "," "," ","359"," ","359"
"2013-2014","44","Henry County","530","Drewry Mason Elementary","31","71","74","66","65","52","60"," "," "," "," "," "," "," ","419"," ","419"
"2013-2014","44","Henry County","620","Fieldale-Collinsville Middle"," "," "," "," "," "," "," ","299","299","313"," "," "," "," ","911"," ","911"
"2013-2014","44","Henry County","661","John Redd Smith Elementary"," "," "," "," ","73","94","106"," "," "," "," "," "," "," ","273"," ","273"
"2013-2014","44","Henry County","670","Laurel Park Middle"," "," "," "," "," "," "," ","268","231","265"," "," "," "," ","764"," ","764"
"2013-2014","44","Henry County","20","Magna Vista High"," "," "," "," "," "," "," "," "," "," ","273","255","199","212","939"," ","939"
"2013-2014","44","Henry County","872","Mount Olivet Elementary","38","48","42","44","45","57","35"," "," "," "," "," "," "," ","309"," ","309"
"2013-2014","44","Henry County","740","Rich Acres Elementary","20","43","31","42","42","36","46"," "," "," "," "," "," "," ","260"," ","260"
"2013-2014","44","Henry County","220","Sanville Elementary","24","39","44","43","39","40","47"," "," "," "," "," "," "," ","276"," ","276"
"2013-2014","44","Henry County","760","Stanleytown Elementary","40","76","65","56","53","53","43"," "," "," "," "," "," "," ","386"," ","386"
"2013-2014","45","Highland County","110","Highland Elementary","18","14","17","9","13","15","20"," "," "," "," "," "," "," ","106"," ","106"
"2013-2014","45","Highland County","220","Highland High"," "," "," "," "," "," "," ","10","15","18","16","14","12","18","103"," ","103"
"2013-2014","114","Hopewell City","110","Carter G. Woodson Middle"," "," "," "," "," "," "," ","298","294","295"," "," "," "," ","887"," ","887"
"2013-2014","114","Hopewell City","40","Dupont Elementary"," ","114","124","116","126","106","99"," "," "," "," "," "," "," ","685"," ","685"
"2013-2014","114","Hopewell City","140","Harry E. James Elementary"," ","120","123","106","99","107","98"," "," "," "," "," "," "," ","653"," ","653"
"2013-2014","114","Hopewell City","120","Hopewell High"," "," "," "," "," "," "," "," "," "," ","349","278","263","237","1,127"," ","1,127"
"2013-2014","114","Hopewell City","70","Patrick Copeland Elementary"," ","133","120","122","86","101","105"," "," "," "," "," "," "," ","667"," ","667"
"2013-2014","114","Hopewell City","151","Woodlawn Pre-School Learning Center","311"," "," "," "," "," "," "," "," "," "," "," "," "," ","311"," ","311"
"2013-2014","46","Isle of Wight County","421","Carrollton Elementary","49","115","154","131","155"," "," "," "," "," "," "," "," "," ","604"," ","604"
"2013-2014","46","Isle of Wight County","280","Carrsville Elementary","22","33","46","37","43","34","39"," "," "," "," "," "," "," ","254"," ","254"
"2013-2014","46","Isle of Wight County","320","Hardy Elementary","28","122","117","100","118"," "," "," "," "," "," "," "," "," ","485"," ","485"
"2013-2014","46","Isle of Wight County","40","Smithfield High"," "," "," "," "," "," "," "," "," "," ","350","339","290","288","1,267"," ","1,267"
"2013-2014","46","Isle of Wight County","50","Smithfield Middle"," "," "," "," "," "," "," "," ","288","315"," "," "," "," ","603"," ","603"
"2013-2014","46","Isle of Wight County","424","Westside Elementary"," "," "," "," "," ","242","282","275"," "," "," "," "," "," ","799"," ","799"
"2013-2014","46","Isle of Wight County","240","Windsor Elementary","40","76","103","100","110","110","108"," "," "," "," "," "," "," ","647"," ","647"
"2013-2014","46","Isle of Wight County","250","Windsor High"," "," "," "," "," "," "," "," "," "," ","129","123","105","114","471"," ","471"
"2013-2014","46","Isle of Wight County","422","Windsor Middle"," "," "," "," "," "," "," ","117","136","124"," "," "," "," ","377"," ","377"
"2013-2014","48","King George County","100","King George Elementary","98","127","115","116","119","125","129","125"," "," "," "," "," "," ","954"," ","954"
"2013-2014","48","King George County","120","King George High"," "," "," "," "," "," "," "," "," "," ","325","365","283","300","1,273"," ","1,273"
"2013-2014","48","King George County","10","King George Middle"," "," "," "," "," "," "," "," ","311","334"," "," "," "," ","645"," ","645"
"2013-2014","48","King George County","50","Potomac Elementary"," ","101","117","94","91","115","69","82"," "," "," "," "," "," ","669"," ","669"
"2013-2014","48","King George County","221","Sealston Elementary"," ","123","130","112","111","117","103","89"," "," "," "," "," "," ","785"," ","785"
"2013-2014","50","King William County","180","Acquinton Elementary"," "," "," "," ","190","181","175"," "," "," "," "," "," "," ","546"," ","546"
"2013-2014","50","King William County","190","Cool Spring Primary","32","181","173","159"," "," "," "," "," "," "," "," "," "," ","545"," ","545"
"2013-2014","50","King William County","160","Hamilton Holmes Middle"," "," "," "," "," "," "," ","178","168","170"," "," "," "," ","516"," ","516"
"2013-2014","50","King William County","130","King William High"," "," "," "," "," "," "," "," "," "," ","182","154","155","148","639"," ","639"
"2013-2014","49","King and Queen County","280","Central High"," "," "," "," "," "," "," "," "," ","53","38","51","46","42","230"," ","230"
"2013-2014","49","King and Queen County","200","King & Queen Elementary","15","39","54","44","30","29","31","35","27"," "," "," "," "," ","304"," ","304"
"2013-2014","49","King and Queen County","290","Lawson-Marriott Elementary","19","48","50","40","35","26","20","26","26"," "," "," "," "," ","290"," ","290"
"2013-2014","51","Lancaster County","10","Lancaster High"," "," "," "," "," "," "," "," "," "," ","111","103","79","96","389"," ","389"
"2013-2014","51","Lancaster County","110","Lancaster Middle"," "," "," "," "," ","96","92","89","102","88"," "," "," "," ","467"," ","467"
"2013-2014","51","Lancaster County","210","Lancaster Primary","76","75","100","74","76"," "," "," "," "," "," "," "," "," ","401"," ","401"
"2013-2014","52","Lee County","160","Dryden Elementary","45","56","52","50","56","52","49"," "," "," "," "," "," "," ","360"," ","360"
"2013-2014","52","Lee County","330","Elk Knob Elementary","43","66","60","60","63","54","62"," "," "," "," "," "," "," ","408"," ","408"
"2013-2014","52","Lee County","820","Elydale Elementary"," "," "," "," "," "," ","44","52","56"," "," "," "," "," ","152"," ","152"
"2013-2014","52","Lee County","630","Flatwoods Elementary","58","80","53","67","56","61","60"," "," "," "," "," "," "," ","435"," ","435"
"2013-2014","52","Lee County","470","Jonesville Middle"," "," "," "," "," "," "," ","63","73","59"," "," "," "," ","195"," ","195"
"2013-2014","52","Lee County","300","Lee High"," "," "," "," "," "," "," "," "," "," ","184","195","192","164","735"," ","735"
"2013-2014","52","Lee County","290","Pennington Middle"," "," "," "," "," "," "," ","137","130","123"," "," "," "," ","390"," ","390"
"2013-2014","52","Lee County","670","Rose Hill Elementary","40","43","43","46","49","46"," "," "," "," "," "," "," "," ","267"," ","267"
"2013-2014","52","Lee County","200","St. Charles Elementary","19","29","28","20","17","18","21"," "," "," "," "," "," "," ","152"," ","152"
"2013-2014","52","Lee County","880","Thomas Walker High"," "," "," "," "," "," "," "," "," ","73","55","58","56","65","307"," ","307"
"2013-2014","137","Lexington City","1390","Harrington Waddell Elementary","7","48","53","53","59","56","64"," "," "," "," "," "," "," ","340"," ","340"
"2013-2014","137","Lexington City","1440","Lylburn Downing Middle"," "," "," "," "," "," "," ","46","70","63"," "," "," "," ","179"," ","179"
"2013-2014","53","Loudoun County","510","Aldie Elementary"," ","21","21","27","23","20","19"," "," "," "," "," "," "," ","131"," ","131"
"2013-2014","53","Loudoun County","150","Algonkian Elementary","5","61","89","87","89","79","75"," "," "," "," "," "," "," ","485"," ","485"
"2013-2014","53","Loudoun County","610","Arcola Elementary","19","132","146","136","127","147","129"," "," "," "," "," "," "," ","836"," ","836"
"2013-2014","53","Loudoun County","170","Ashburn Elementary","22","95","109","104","132","129","99"," "," "," "," "," "," "," ","690"," ","690"
"2013-2014","53","Loudoun County","220","Ball's Bluff Elementary","16","96","109","123","102","108","82"," "," "," "," "," "," "," ","636"," ","636"
"2013-2014","53","Loudoun County","650","Banneker Elementary","1","15","23","20","27","30","45"," "," "," "," "," "," "," ","161"," ","161"
"2013-2014","53","Loudoun County","940","Belmont Ridge Middle"," "," "," "," "," "," "," ","562","478","508"," "," "," "," ","1,548","1","1,549"
"2013-2014","53","Loudoun County","300","Belmont Station Elementary","8","105","127","134","152","138","139"," "," "," "," "," "," "," ","803"," ","803"
"2013-2014","53","Loudoun County","790","Blue Ridge Middle"," "," "," "," "," "," "," ","315","306","326"," "," "," "," ","947"," ","947"
"2013-2014","53","Loudoun County","420","Briar Woods High"," "," "," "," "," "," "," "," "," "," ","617","568","487","485","2,157","3","2,160"
"2013-2014","53","Loudoun County","740","Broad Run High"," "," "," "," "," "," "," "," "," "," ","473","466","477","459","1,875","2","1,877"
"2013-2014","53","Loudoun County","450","Buffalo Trail Elementary","20","128","151","148","135","135","133"," "," "," "," "," "," "," ","850"," ","850"
"2013-2014","53","Loudoun County","710","Catoctin Elementary","18","108","81","109","88","88","88"," "," "," "," "," "," "," ","580"," ","580"
"2013-2014","53","Loudoun County","840","Cedar Lane Elementary","25","117","106","108","110","120","141"," "," "," "," "," "," "," ","727"," ","727"
"2013-2014","53","Loudoun County","160","Cool Spring Elementary","29","117","96","107","114","108","100"," "," "," "," "," "," "," ","671"," ","671"
"2013-2014","53","Loudoun County","890","Countryside Elementary","23","136","122","107","101","130","105"," "," "," "," "," "," "," ","724"," ","724"
"2013-2014","53","Loudoun County","540","Creighton's Corner Elementary","4","148","164","167","121","119","124"," "," "," "," "," "," "," ","847"," ","847"
"2013-2014","53","Loudoun County","1000","Discovery Elementary School","59","83","130","121","121","99","107"," "," "," "," "," "," "," ","720"," ","720"
"2013-2014","53","Loudoun County","31","Dominion High","17"," "," "," "," "," "," "," "," "," ","342","362","325","321","1,367","2","1,369"
"2013-2014","53","Loudoun County","470","Dominion Trail Elementary","4","110","107","114","96","112","118"," "," "," "," "," "," "," ","661"," ","661"
"2013-2014","53","Loudoun County","880","Eagle Ridge Middle"," "," "," "," "," "," "," ","436","394","383"," "," "," "," ","1,213"," ","1,213"
"2013-2014","53","Loudoun County","730","Emerick Elementary","1","59","84","77","80","93","88"," "," "," "," "," "," "," ","482"," ","482"
"2013-2014","53","Loudoun County","190","Evergreen Mill Elementary","52","86","103","105","105","94","112"," "," "," "," "," "," "," ","657"," ","657"
"2013-2014","53","Loudoun County","210","Farmwell Station Middle"," "," "," "," "," "," "," ","405","473","425"," "," "," "," ","1,303","3","1,306"
"2013-2014","53","Loudoun County","970","Forest Grove Elementary","22","85","101","91","90","88","90"," "," "," "," "," "," "," ","567"," ","567"
"2013-2014","53","Loudoun County","91","Frances Hazel Reid Elementary","23","93","112","122","117","138","120"," "," "," "," "," "," "," ","725"," ","725"
"2013-2014","53","Loudoun County","530","Frederick Douglass Elementary","53","97","105","106","93","111","95"," "," "," "," "," "," "," ","660"," ","660"
"2013-2014","53","Loudoun County","120","Freedom High"," "," "," "," "," "," "," "," "," "," ","361","378","302","402","1,443","1","1,444"
"2013-2014","53","Loudoun County","720","Guilford Elementary"," ","99","97","88","80","70","75"," "," "," "," "," "," "," ","509"," ","509"
"2013-2014","53","Loudoun County","230","Hamilton Elementary","2","25","28","22","36","26","26"," "," "," "," "," "," "," ","165"," ","165"
"2013-2014","53","Loudoun County","921","Harmony Middle"," "," "," "," "," "," "," ","368","361","381"," "," "," "," ","1,110","4","1,114"
"2013-2014","53","Loudoun County","520","Harper Park Middle"," "," "," "," "," "," "," ","357","365","327"," "," "," "," ","1,049","2","1,051"
"2013-2014","53","Loudoun County","900","Heritage High","17"," "," "," "," "," "," "," "," "," ","343","306","311","267","1,244","1","1,245"
"2013-2014","53","Loudoun County","110","Hillsboro Elementary"," ","9","13","6","15","9","11"," "," "," "," "," "," "," ","63"," ","63"
"2013-2014","53","Loudoun County","400","Hillside Elementary","9","72","124","110","120","154","126"," "," "," "," "," "," "," ","715"," ","715"
"2013-2014","53","Loudoun County","820","Horizon Elementary","31","98","114","101","114","142","129"," "," "," "," "," "," "," ","729"," ","729"
"2013-2014","53","Loudoun County","960","Hutchison Farm Elementary","5","107","142","130","148","147","123"," "," "," "," "," "," "," ","802"," ","802"
"2013-2014","53","Loudoun County","20","J. Lupton Simpson Middle"," "," "," "," "," "," "," ","341","325","354"," "," "," "," ","1,020","3","1,023"
"2013-2014","53","Loudoun County","580","J. Michael Lunsford Middle"," "," "," "," "," "," "," ","477","485","442"," "," "," "," ","1,404"," ","1,404"
"2013-2014","53","Loudoun County","370","John Champe High"," "," "," "," "," "," "," "," "," "," ","293","296","232","139","960"," ","960"
"2013-2014","53","Loudoun County","950","John W. Tolbert Jr. Elementary","7","115","133","145","134","140","144"," "," "," "," "," "," "," ","818"," ","818"
"2013-2014","53","Loudoun County","600","Kenneth W.Culbert Elementary","26","52","77","88","96","99","102"," "," "," "," "," "," "," ","540"," ","540"
"2013-2014","53","Loudoun County","80","Leesburg Elementary","4","90","99","105","96","108","96"," "," "," "," "," "," "," ","598"," ","598"
"2013-2014","53","Loudoun County","430","Legacy Elementary","25","149","191","174","183","178","163"," "," "," "," "," "," "," ","1,063"," ","1,063"
"2013-2014","53","Loudoun County","560","Liberty Elementary","3","162","194","204","192","184","197"," "," "," "," "," "," "," ","1,136"," ","1,136"
"2013-2014","53","Loudoun County","290","Lincoln Elementary"," ","13","25","21","25","28","23"," "," "," "," "," "," "," ","135"," ","135"
"2013-2014","53","Loudoun County","860","Little River Elementary","36","81","105","118","115","136","163"," "," "," "," "," "," "," ","754"," ","754"
"2013-2014","53","Loudoun County","660","Loudoun County High"," "," "," "," "," "," "," "," "," "," ","366","383","357","336","1,442","2","1,444"
"2013-2014","53","Loudoun County","680","Loudoun Valley High"," "," "," "," "," "," "," "," "," "," ","332","316","297","286","1,231","2","1,233"
"2013-2014","53","Loudoun County","780","Lovettsville Elementary","4","68","94","81","91","82","94"," "," "," "," "," "," "," ","514"," ","514"
"2013-2014","53","Loudoun County","500","Lowes Island Elementary","3","75","129","95","132","126","130"," "," "," "," "," "," "," ","690"," ","690"
"2013-2014","53","Loudoun County","130","Lucketts Elementary"," ","42","52","38","51","41","50"," "," "," "," "," "," "," ","274"," ","274"
"2013-2014","53","Loudoun County","70","Meadowland Elementary","36","61","71","75","62","61","70"," "," "," "," "," "," "," ","436"," ","436"
"2013-2014","53","Loudoun County","320","Mercer Middle"," "," "," "," "," "," "," ","364","313","316"," "," "," "," ","993"," ","993"
"2013-2014","53","Loudoun County","490","Middleburg Elementary"," ","9","8","6","9","9","9"," "," "," "," "," "," "," ","50"," ","50"
"2013-2014","53","Loudoun County","910","Mill Run Elementary","8","140","146","165","145","164","180"," "," "," "," "," "," "," ","948"," ","948"
"2013-2014","53","Loudoun County","380","Moorefield Station Elementary School","28","131","152","137","156","169","97"," "," "," "," "," "," "," ","870"," ","870"
"2013-2014","53","Loudoun County","980","Mountain View Elementary","9","76","77","95","98","93","97"," "," "," "," "," "," "," ","545"," ","545"
"2013-2014","53","Loudoun County","270","Newton-Lee Elementary","18","95","137","138","178","180","161"," "," "," "," "," "," "," ","907"," ","907"
"2013-2014","53","Loudoun County","60","Park View High"," "," "," "," "," "," "," "," "," "," ","347","314","309","334","1,304","2","1,306"
"2013-2014","53","Loudoun County","340","Pinebrook Elementary","5","185","205","224","180","196","176"," "," "," "," "," "," "," ","1,171"," ","1,171"
"2013-2014","53","Loudoun County","140","Potomac Falls High"," "," "," "," "," "," "," "," "," "," ","394","388","403","374","1,559","2","1,561"
"2013-2014","53","Loudoun County","250","Potowmack Elementary","19","78","114","96","111","110","89"," "," "," "," "," "," "," ","617"," ","617"
"2013-2014","53","Loudoun County","930","River Bend Middle"," "," "," "," "," "," "," ","406","369","412"," "," "," "," ","1,187","1","1,188"
"2013-2014","53","Loudoun County","40","Rolling Ridge Elementary","60","100","89","85","82","92","84"," "," "," "," "," "," "," ","592"," ","592"
"2013-2014","53","Loudoun County","550","Rosa Lee Carter Elementary"," ","103","139","139","170","165","143"," "," "," "," "," "," "," ","859"," ","859"
"2013-2014","53","Loudoun County","180","Round Hill Elementary","24","112","90","75","83","92","100"," "," "," "," "," "," "," ","576"," ","576"
"2013-2014","53","Loudoun County","240","Sanders Corner Elementary","1","86","83","112","101","120","114"," "," "," "," "," "," "," ","617"," ","617"
"2013-2014","53","Loudoun County","870","Seldens Landing Elementary","4","129","134","145","152","141","183"," "," "," "," "," "," "," ","888"," ","888"
"2013-2014","53","Loudoun County","30","Seneca Ridge Middle"," "," "," "," "," "," "," ","353","327","360"," "," "," "," ","1,040","2","1,042"
"2013-2014","53","Loudoun County","90","Smart's Mill Middle"," "," "," "," "," "," "," ","353","379","331"," "," "," "," ","1,063"," ","1,063"
"2013-2014","53","Loudoun County","690","Sterling Elementary","22","78","78","85","89","81","64"," "," "," "," "," "," "," ","497"," ","497"
"2013-2014","53","Loudoun County","760","Sterling Middle"," "," "," "," "," "," "," ","338","312","338"," "," "," "," ","988"," ","988"
"2013-2014","53","Loudoun County","350","Steuart W. Weller Elementary","25","122","142","136","146","149","111"," "," "," "," "," "," "," ","831"," ","831"
"2013-2014","53","Loudoun County","850","Stone Bridge High"," "," "," "," "," "," "," "," "," "," ","479","443","422","465","1,809","2","1,811"
"2013-2014","53","Loudoun County","570","Stone Hill Middle"," "," "," "," "," "," "," ","589","552","487"," "," "," "," ","1,628"," ","1,628"
"2013-2014","53","Loudoun County","10","Sugarland Elementary","40","112","95","80","89","82","76"," "," "," "," "," "," "," ","574"," ","574"
"2013-2014","53","Loudoun County","750","Sully Elementary","32","109","95","70","76","51","55"," "," "," "," "," "," "," ","488"," ","488"
"2013-2014","53","Loudoun County","280","Sycolin Creek Elementary","34","116","125","120","117","99","127"," "," "," "," "," "," "," ","738"," ","738"
"2013-2014","53","Loudoun County","200","Tuscarora High","17"," "," "," "," "," "," "," "," "," ","509","468","471","438","1,903","4","1,907"
"2013-2014","53","Loudoun County","700","Waterford Elementary"," ","16","22","16","33","36","42"," "," "," "," "," "," "," ","165"," ","165"
"2013-2014","53","Loudoun County","590","Woodgrove High","16"," "," "," "," "," "," "," "," "," ","378","371","386","334","1,485","8","1,493"
"2013-2014","54","Louisa County","660","Jouett Elementary","22","99","96","117","118","78","97"," "," "," "," "," "," "," ","627"," ","627"
"2013-2014","54","Louisa County","602","Louisa County High"," "," "," "," "," "," "," "," "," "," ","333","370","335","315","1,353"," ","1,353"
"2013-2014","54","Louisa County","601","Louisa County Middle"," "," "," "," "," "," "," ","382","367","371"," "," "," "," ","1,120"," ","1,120"
"2013-2014","54","Louisa County","80","Moss-Nuckols Elementary","28","129","128","116","114","110","95"," "," "," "," "," "," "," ","720"," ","720"
"2013-2014","54","Louisa County","610","Thomas Jefferson Elementary","41","74","84","72","85","94","81"," "," "," "," "," "," "," ","531"," ","531"
"2013-2014","54","Louisa County","641","Trevilians Elementary","27","68","73","89","61","68","57"," "," "," "," "," "," "," ","443"," ","443"
"2013-2014","55","Lunenburg County","560","Central High"," "," "," "," "," "," "," "," "," "," ","139","106","94","102","441"," ","441"
"2013-2014","55","Lunenburg County","240","Kenbridge Elementary","66","57","59","60","59","49","51"," "," "," "," "," "," "," ","401"," ","401"
"2013-2014","55","Lunenburg County","171","Lunenburg Middle"," "," "," "," "," "," "," ","115","124","113"," "," "," "," ","352"," ","352"
"2013-2014","55","Lunenburg County","140","Victoria Elementary","1","70","46","79","67","61","56"," "," "," "," "," "," "," ","380"," ","380"
"2013-2014","115","Lynchburg City","290","Bedford Hills Elementary","2","95","104","96","71","97","87"," "," "," "," "," "," "," ","552"," ","552"
"2013-2014","115","Lynchburg City","70","Dearington Elementary/Innovation","2","26","37","33","37","39","29"," "," "," "," "," "," "," ","203"," ","203"
"2013-2014","115","Lynchburg City","260","E.C. Glass High"," "," "," "," "," "," "," "," "," "," ","358","361","336","299","1,354"," ","1,354"
"2013-2014","115","Lynchburg City","1102","Heritage Elementary","44","79","82","62","55","66","56"," "," "," "," "," "," "," ","444"," ","444"
"2013-2014","115","Lynchburg City","130","Heritage High"," "," "," "," "," "," "," "," "," "," ","243","255","277","241","1,016"," ","1,016"
"2013-2014","115","Lynchburg City","360","Linkhorne Elementary","20","81","86","87","76","63","61"," "," "," "," "," "," "," ","474"," ","474"
"2013-2014","115","Lynchburg City","350","Linkhorne Middle"," "," "," "," "," "," "," ","188","198","220"," "," "," "," ","606"," ","606"
"2013-2014","115","Lynchburg City","170","Paul Laurence Dunbar Middle for Innovation"," "," "," "," "," "," "," ","226","210","202"," "," "," "," ","638"," ","638"
"2013-2014","115","Lynchburg City","330","Paul Munro Elementary","55","64","54","49","35","34","33"," "," "," "," "," "," "," ","324"," ","324"
"2013-2014","115","Lynchburg City","270","Perrymont Elementary","55","85","84","72","59","62","35"," "," "," "," "," "," "," ","452"," ","452"
"2013-2014","115","Lynchburg City","190","Robert S. Payne Elementary","37","48","65","54","103","105","105"," "," "," "," "," "," "," ","517"," ","517"
"2013-2014","115","Lynchburg City","370","Sandusky Elementary","30","58","59","70","51","56","49"," "," "," "," "," "," "," ","373"," ","373"
"2013-2014","115","Lynchburg City","340","Sandusky Middle"," "," "," "," "," "," "," ","191","205","198"," "," "," "," ","594"," ","594"
"2013-2014","115","Lynchburg City","300","Sheffield Elementary","37","86","85","79","65","52","65"," "," "," "," "," "," "," ","469"," ","469"
"2013-2014","115","Lynchburg City","90","T.C. Miller Elementary for Innovation","4","51","38","40","36","38","47"," "," "," "," "," "," "," ","254"," ","254"
"2013-2014","115","Lynchburg City","250","William M. Bass Elementary","32","58","49","47","47","41","39"," "," "," "," "," "," "," ","313"," ","313"
"2013-2014","56","Madison County","221","Madison County High"," "," "," "," "," "," "," "," "," "," ","139","144","138","163","584"," ","584"
"2013-2014","56","Madison County","230","Madison Primary","68","131","128","136"," "," "," "," "," "," "," "," "," "," ","463"," ","463"
"2013-2014","56","Madison County","200","Waverly Yowell Elementary"," "," "," "," ","139","133","133"," "," "," "," "," "," "," ","405"," ","405"
"2013-2014","56","Madison County","222","William H. Wetsel Middle"," "," "," "," "," "," "," ","150","135","142"," "," "," "," ","427"," ","427"
"2013-2014","143","Manassas City","470","Baldwin Elementary","36","155","117","114","107","98"," "," "," "," "," "," "," "," ","627"," ","627"
"2013-2014","143","Manassas City","60","George Carr Round Elementary","18","102","108","104","105","90"," "," "," "," "," "," "," "," ","527"," ","527"
"2013-2014","143","Manassas City","70","Grace E. Metz Middle"," "," "," "," "," "," "," "," ","519","481"," "," "," "," ","1,000"," ","1,000"
"2013-2014","143","Manassas City","310","Jennie Dean Elementary","53","138","129","132","124","107"," "," "," "," "," "," "," "," ","683"," ","683"
"2013-2014","143","Manassas City","80","Mayfield Intermediate"," "," "," "," "," "," ","512","528"," "," "," "," "," "," ","1,040"," ","1,040"
"2013-2014","143","Manassas City","370","Osbourn High"," "," "," "," "," "," "," "," "," "," ","579","542","491","471","2,083"," ","2,083"
"2013-2014","143","Manassas City","20","Richard C. Haydon Elementary","19","111","138","115","119","118"," "," "," "," "," "," "," "," ","620"," ","620"
"2013-2014","143","Manassas City","10","Weems Elementary","16","122","148","153","121","102"," "," "," "," "," "," "," "," ","662"," ","662"
"2013-2014","144","Manassas Park City","522","Cougar Elementary","52","267","274","290"," "," "," "," "," "," "," "," "," "," ","883"," ","883"
"2013-2014","144","Manassas Park City","420","Manassas Park Elementary"," "," "," "," ","246","271","220"," "," "," "," "," "," "," ","737"," ","737"
"2013-2014","144","Manassas Park City","30","Manassas Park High"," "," "," "," "," "," "," "," "," "," ","245","226","196","166","833"," ","833"
"2013-2014","144","Manassas Park City","31","Manassas Park Middle"," "," "," "," "," "," "," ","266","264","233"," "," "," "," ","763"," ","763"
"2013-2014","116","Martinsville City","222","Albert Harris Elementary"," ","96","101","103","88","72","84"," "," "," "," "," "," "," ","544"," ","544"
"2013-2014","116","Martinsville City","224","Clearview Early Childhood Center","133"," "," "," "," "," "," "," "," "," "," "," "," "," ","133"," ","133"
"2013-2014","116","Martinsville City","110","Martinsville High"," "," "," "," "," "," "," "," "," "," ","165","170","156","135","626"," ","626"
"2013-2014","116","Martinsville City","10","Martinsville Middle"," "," "," "," "," "," "," ","160","144","189"," "," "," "," ","493"," ","493"
"2013-2014","116","Martinsville City","223","Patrick Henry Elementary"," ","85","85","79","75","65","74"," "," "," "," "," "," "," ","463"," ","463"
"2013-2014","57","Mathews County","291","Lee-Jackson Elementary","14","76","87","60","79","82"," "," "," "," "," "," "," "," ","398"," ","398"
"2013-2014","57","Mathews County","190","Mathews High"," "," "," "," "," "," "," "," "," "," ","105","106","112","90","413"," ","413"
"2013-2014","57","Mathews County","100","Thomas Hunter Middle"," "," "," "," "," "," ","67","94","96","90"," "," "," "," ","347"," ","347"
"2013-2014","58","Mecklenburg County","980","Bluestone  High"," "," "," "," "," "," "," "," "," "," ","147","176","158","154","635"," ","635"
"2013-2014","58","Mecklenburg County","960","Bluestone Middle"," "," "," "," "," "," "," ","147","134","150"," "," "," "," ","431"," ","431"
"2013-2014","58","Mecklenburg County","910","Chase City Elementary","43","59","68","56","69","78","68"," "," "," "," "," "," "," ","441"," ","441"
"2013-2014","58","Mecklenburg County","1000","Clarksville Elementary","44","74","68","95","65","71","78"," "," "," "," "," "," "," ","495"," ","495"
