"School Year","Division Number","Division Name","School Number","School Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2016-2017","101","Alexandria City","220","James K. Polk Elementary","791","3","794"
"2016-2017","101","Alexandria City","90","Jefferson-Houston Elementary","563","25","588"
"2016-2017","101","Alexandria City","230","John Adams Elementary","1,016","20","1,036"
"2016-2017","101","Alexandria City","80","Lyles-Crouch Elementary","438","5","443"
"2016-2017","101","Alexandria City","60","Maury Elementary","420","1","421"
"2016-2017","101","Alexandria City","30","Mount Vernon Elementary","900","3","903"
"2016-2017","101","Alexandria City","50","Patrick Henry Elementary","670","11","681"
"2016-2017","101","Alexandria City","333","Samuel W. Tucker Elementary","807","1","808"
"2016-2017","101","Alexandria City","210","T.C. Williams High","3,783","6","3,789"
"2016-2017","101","Alexandria City","190","William Ramsay Elementary","922","2","924"
"2016-2017","3","Alleghany County","310","Alleghany High","754"," ","754"
"2016-2017","3","Alleghany County","110","Callaghan Elementary","214"," ","214"
"2016-2017","3","Alleghany County","1040","Clifton Middle","522"," ","522"
"2016-2017","3","Alleghany County","1041","Mountain View Elementary","559"," ","559"
"2016-2017","3","Alleghany County","90","Sharon Elementary","195"," ","195"
"2016-2017","4","Amelia County","220","Amelia County Elementary","738"," ","738"
"2016-2017","4","Amelia County","10","Amelia County High","578"," ","578"
"2016-2017","4","Amelia County","210","Amelia County Middle","492"," ","492"
"2016-2017","5","Amherst County","780","Amelon Elementary","473"," ","473"
"2016-2017","5","Amherst County","750","Amherst County High","1,262"," ","1,262"
"2016-2017","5","Amherst County","790","Amherst Elementary","301"," ","301"
"2016-2017","5","Amherst County","670","Amherst Middle","347"," ","347"
"2016-2017","5","Amherst County","770","Central Elementary","321"," ","321"
"2016-2017","5","Amherst County","760","Elon Elementary","292"," ","292"
"2016-2017","5","Amherst County","500","Madison Heights Elementary","481"," ","481"
"2016-2017","5","Amherst County","20","Monelison Middle","534"," ","534"
"2016-2017","5","Amherst County","240","Pleasant View Elementary","45"," ","45"
"2016-2017","5","Amherst County","740","Temperance Elementary","83"," ","83"
"2016-2017","6","Appomattox County","260","Appomattox County High","718"," ","718"
"2016-2017","6","Appomattox County","110","Appomattox Elementary","508"," ","508"
"2016-2017","6","Appomattox County","160","Appomattox Middle","496"," ","496"
"2016-2017","6","Appomattox County","250","Appomattox Primary","582"," ","582"
"2016-2017","7","Arlington County","350","Abingdon Elementary","627"," ","627"
"2016-2017","7","Arlington County","618","Arlington Mill High","155"," ","155"
"2016-2017","7","Arlington County","613","Arlington Science Focus","662"," ","662"
"2016-2017","7","Arlington County","470","Arlington Traditional","534"," ","534"
"2016-2017","7","Arlington County","490","Ashlawn Elementary","661"," ","661"
"2016-2017","7","Arlington County","150","Barcroft Elementary","452"," ","452"
"2016-2017","7","Arlington County","250","Barrett Elementary","546"," ","546"
"2016-2017","7","Arlington County","615","Campbell Elementary","430"," ","430"
"2016-2017","7","Arlington County","90","Carlin Springs Elementary","604"," ","604"
"2016-2017","7","Arlington County","622","Claremont Immersion","762"," ","762"
"2016-2017","7","Arlington County","626","Discovery Elementary","591"," ","591"
"2016-2017","7","Arlington County","200","Drew Model Elementary","679"," ","679"
"2016-2017","7","Arlington County","111","Francis Scott Key Elementary","703"," ","703"
"2016-2017","7","Arlington County","100","Glebe Elementary","577"," ","577"
"2016-2017","7","Arlington County","611","Gunston Middle","990"," ","990"
"2016-2017","7","Arlington County","160","Henry Elementary","615"," ","615"
"2016-2017","7","Arlington County","614","Hoffman-Boston Elementary","512"," ","512"
"2016-2017","7","Arlington County","440","Jamestown Elementary","583"," ","583"
"2016-2017","7","Arlington County","180","Jefferson Middle","1,004"," ","1,004"
"2016-2017","7","Arlington County","500","Kenmore Middle","942"," ","942"
"2016-2017","7","Arlington County","460","Long Branch Elementary","597"," ","597"
"2016-2017","7","Arlington County","380","McKinley Elementary","726"," ","726"
"2016-2017","7","Arlington County","410","Nottingham Elementary","469"," ","469"
"2016-2017","7","Arlington County","360","Oakridge Elementary","803"," ","803"
"2016-2017","7","Arlington County","510","Randolph Elementary","451"," ","451"
"2016-2017","7","Arlington County","240","Swanson Middle","1,257"," ","1,257"
"2016-2017","7","Arlington County","420","Taylor Elementary","687"," ","687"
"2016-2017","7","Arlington County","211","Tuckahoe Elementary","576"," ","576"
"2016-2017","7","Arlington County","450","Wakefield High","2,104"," ","2,104"
"2016-2017","7","Arlington County","80","Washington-Lee High","2,537"," ","2,537"
"2016-2017","7","Arlington County","480","Williamsburg Middle","1,283"," ","1,283"
"2016-2017","7","Arlington County","330","Yorktown High","2,057"," ","2,057"
"2016-2017","8","Augusta County","210","Beverley Manor Elementary","318"," ","318"
"2016-2017","8","Augusta County","212","Beverley Manor Middle","735"," ","735"
"2016-2017","8","Augusta County","660","Buffalo Gap High","502"," ","502"
"2016-2017","8","Augusta County","30","Cassell Elementary","547"," ","547"
"2016-2017","8","Augusta County","140","Churchville Elementary","312"," ","312"
"2016-2017","8","Augusta County","370","Craigsville Elementary","156"," ","156"
"2016-2017","8","Augusta County","842","Edward G. Clymore Elementary","603"," ","603"
"2016-2017","8","Augusta County","670","Fort Defiance High","778","1","779"
"2016-2017","8","Augusta County","843","Guy K. Stump Elementary","342"," ","342"
"2016-2017","8","Augusta County","40","North River Elementary","235"," ","235"
"2016-2017","8","Augusta County","740","Riverheads Elementary","512"," ","512"
"2016-2017","8","Augusta County","680","Riverheads High","476","1","477"
"2016-2017","8","Augusta County","90","S. Gordon Stewart Middle","585"," ","585"
"2016-2017","8","Augusta County","440","Stuarts Draft Elementary","653"," ","653"
"2016-2017","8","Augusta County","730","Stuarts Draft High","692"," ","692"
"2016-2017","8","Augusta County","60","Stuarts Draft Middle","547"," ","547"
"2016-2017","8","Augusta County","710","Verona Elementary","327"," ","327"
"2016-2017","8","Augusta County","640","Wilson Elementary","694"," ","694"
"2016-2017","8","Augusta County","720","Wilson Memorial High","774"," ","774"
"2016-2017","8","Augusta County","844","Wilson Middle","596"," ","596"
"2016-2017","9","Bath County","140","Bath County High","222"," ","222"
"2016-2017","9","Bath County","120","Millboro Elementary","141"," ","141"
"2016-2017","9","Bath County","150","Valley Elementary","199"," ","199"
"2016-2017","10","Bedford County","480","Bedford Elementary","461"," ","461"
"2016-2017","10","Bedford County","490","Bedford Middle","568"," ","568"
"2016-2017","10","Bedford County","1200","Bedford Primary","261","1","262"
"2016-2017","10","Bedford County","30","Big Island Elementary","155"," ","155"
"2016-2017","10","Bedford County","160","Boonsboro Elementary","295"," ","295"
"2016-2017","10","Bedford County","500","Forest Elementary","369"," ","369"
"2016-2017","10","Bedford County","1211","Forest Middle","983"," ","983"
"2016-2017","10","Bedford County","1214","Goodview Elementary","480"," ","480"
"2016-2017","10","Bedford County","980","Huddleston Elementary","284"," ","284"
"2016-2017","10","Bedford County","1212","Jefferson Forest High","1,335","2","1,337"
"2016-2017","10","Bedford County","1180","Liberty High","845"," ","845"
"2016-2017","10","Bedford County","970","Moneta Elementary","257"," ","257"
"2016-2017","10","Bedford County","180","Montvale Elementary","283"," ","283"
"2016-2017","10","Bedford County","610","New London Academy Elementary","295"," ","295"
"2016-2017","10","Bedford County","1170","Otter River Elementary","215"," ","215"
"2016-2017","10","Bedford County","1190","Staunton River High","961","2","963"
"2016-2017","10","Bedford County","1191","Staunton River Middle","693"," ","693"
"2016-2017","10","Bedford County","640","Stewartsville Elementary","353"," ","353"
"2016-2017","10","Bedford County","1213","Thomas Jefferson Elementary","609"," ","609"
"2016-2017","11","Bland County","250","Bland County Elementary","398"," ","398"
"2016-2017","11","Bland County","260","Bland County High","373"," ","373"
"2016-2017","12","Botetourt County","220","Breckinridge Elementary","205"," ","205"
"2016-2017","12","Botetourt County","20","Buchanan Elementary","291"," ","291"
"2016-2017","12","Botetourt County","420","Central Academy Middle","406"," ","406"
"2016-2017","12","Botetourt County","390","Cloverdale Elementary","254"," ","254"
"2016-2017","12","Botetourt County","400","Colonial Elementary","401"," ","401"
"2016-2017","12","Botetourt County","30","Eagle Rock Elementary","137"," ","137"
"2016-2017","12","Botetourt County","460","Greenfield Elementary","393"," ","393"
"2016-2017","12","Botetourt County","430","James River High","551"," ","551"
"2016-2017","12","Botetourt County","440","Lord Botetourt High","1,030"," ","1,030"
"2016-2017","12","Botetourt County","450","Read Mountain Middle","728"," ","728"
"2016-2017","12","Botetourt County","40","Troutville Elementary","258"," ","258"
"2016-2017","102","Bristol City","60","Highland View Elementary","192"," ","192"
"2016-2017","102","Bristol City","100","Joseph Van Pelt Elementary","455"," ","455"
"2016-2017","102","Bristol City","70","Stonewall Jackson Elementary","283"," ","283"
"2016-2017","102","Bristol City","80","Virginia High","672"," ","672"
"2016-2017","102","Bristol City","10","Virginia Middle","495"," ","495"
"2016-2017","102","Bristol City","90","Washington-Lee Elementary","202"," ","202"
"2016-2017","13","Brunswick County","650","Brunswick High","498"," ","498"
"2016-2017","13","Brunswick County","660","James S. Russell Middle","371"," ","371"
"2016-2017","13","Brunswick County","690","Meherrin Powellton Elementary","264"," ","264"
"2016-2017","13","Brunswick County","700","Red Oak-Sturgeon Elementary","246"," ","246"
"2016-2017","13","Brunswick County","720","Totaro Elementary","341"," ","341"
"2016-2017","14","Buchanan County","90","Council Elementary/Middle","212"," ","212"
"2016-2017","14","Buchanan County","1000","Council High","140"," ","140"
"2016-2017","14","Buchanan County","990","Grundy High","430"," ","430"
"2016-2017","14","Buchanan County","120","Hurley Elementary/Middle","408"," ","408"
"2016-2017","14","Buchanan County","1020","Hurley High","234"," ","234"
"2016-2017","14","Buchanan County","20","J.M. Bevins Elementary","104"," ","104"
"2016-2017","14","Buchanan County","1040","Riverview Elementary/Middle","769"," ","769"
"2016-2017","14","Buchanan County","1041","Twin Valley Elementary/Middle","379"," ","379"
"2016-2017","14","Buchanan County","1042","Twin Valley High","246"," ","246"
"2016-2017","15","Buckingham County","724","Buckingham Co Elementary","490"," ","490"
"2016-2017","15","Buckingham County","20","Buckingham Co Prekindergarten Center","115"," ","115"
"2016-2017","15","Buckingham County","723","Buckingham Co Primary","480"," ","480"
"2016-2017","15","Buckingham County","700","Buckingham County High","540"," ","540"
"2016-2017","15","Buckingham County","721","Buckingham County Middle","429"," ","429"
"2016-2017","103","Buena Vista City","40","Enderly Heights Elementary","194"," ","194"
"2016-2017","103","Buena Vista City","70","F.W. Kling Jr. Elementary","217"," ","217"
"2016-2017","103","Buena Vista City","62","Parry McCluer High","394"," ","394"
"2016-2017","103","Buena Vista City","61","Parry McCluer Middle","154"," ","154"
"2016-2017","16","Campbell County","560","Altavista Elementary","529"," ","529"
"2016-2017","16","Campbell County","200","Altavista High","697"," ","697"
"2016-2017","16","Campbell County","650","Brookneal Elementary","369"," ","369"
"2016-2017","16","Campbell County","720","Brookville High","964"," ","964"
"2016-2017","16","Campbell County","20","Brookville Middle","693"," ","693"
"2016-2017","16","Campbell County","130","Concord Elementary","418"," ","418"
"2016-2017","16","Campbell County","690","Leesville Road Elementary","683"," ","683"
"2016-2017","16","Campbell County","821","Rustburg Elementary","474"," ","474"
"2016-2017","16","Campbell County","222","Rustburg High","874"," ","874"
"2016-2017","16","Campbell County","211","Rustburg Middle","609"," ","609"
"2016-2017","16","Campbell County","60","Tomahawk Elementary","696"," ","696"
"2016-2017","16","Campbell County","542","William Campbell High","456"," ","456"
"2016-2017","16","Campbell County","710","Yellow Branch Elementary","558"," ","558"
"2016-2017","17","Caroline County","620","Bowling Green Elementary","762"," ","762"
"2016-2017","17","Caroline County","460","Caroline High","1,194"," ","1,194"
"2016-2017","17","Caroline County","450","Caroline Middle","946"," ","946"
"2016-2017","17","Caroline County","9020","Lewis & Clark Elementary","900"," ","900"
"2016-2017","17","Caroline County","630","Madison Elementary","497"," ","497"
"2016-2017","18","Carroll County","1230","Carroll County High","1,156"," ","1,156"
"2016-2017","18","Carroll County","450","Carroll County Middle","826"," ","826"
"2016-2017","18","Carroll County","1180","Fancy Gap Elementary","153"," ","153"
"2016-2017","18","Carroll County","1150","Gladesboro Elementary","131"," ","131"
"2016-2017","18","Carroll County","1210","Gladeville Elementary","287"," ","287"
"2016-2017","18","Carroll County","1170","Hillsville Elementary","522"," ","522"
"2016-2017","18","Carroll County","1160","Laurel Elementary","217"," ","217"
"2016-2017","18","Carroll County","1130","Oakland Elementary","201"," ","201"
"2016-2017","18","Carroll County","1110","St. Paul","343"," ","343"
"2016-2017","19","Charles City County","80","Charles City County Elementary","361"," ","361"
"2016-2017","19","Charles City County","100","Charles City County High","318"," ","318"
"2016-2017","20","Charlotte County","470","Bacon District Elementary","183"," ","183"
"2016-2017","20","Charlotte County","210","Central Middle","443"," ","443"
"2016-2017","20","Charlotte County","100","Eureka Elementary","505"," ","505"
"2016-2017","20","Charlotte County","450","Phenix Elementary","246"," ","246"
"2016-2017","20","Charlotte County","460","Randolph-Henry High","547"," ","547"
"2016-2017","104","Charlottesville City","100","Buford Middle","505","2","507"
"2016-2017","104","Charlottesville City","70","Burnley-Moran Elementary","407"," ","407"
"2016-2017","104","Charlottesville City","140","Charlottesville High","1,196","3","1,199"
"2016-2017","104","Charlottesville City","50","Clark Elementary","355"," ","355"
"2016-2017","104","Charlottesville City","90","Greenbrier Elementary","383"," ","383"
"2016-2017","104","Charlottesville City","120","Jackson-Via Elementary","352"," ","352"
"2016-2017","104","Charlottesville City","10","Johnson Elementary","358"," ","358"
"2016-2017","104","Charlottesville City","40","Venable Elementary","347"," ","347"
"2016-2017","104","Charlottesville City","110","Walker Upper Elementary","568","2","570"
"2016-2017","136","Chesapeake City","630","B.M. Williams Primary","883"," ","883"
"2016-2017","136","Chesapeake City","860","Butts Road Intermediate","637"," ","637"
"2016-2017","136","Chesapeake City","770","Butts Road Primary","560"," ","560"
"2016-2017","136","Chesapeake City","90","Camelot Elementary","560"," ","560"
"2016-2017","136","Chesapeake City","900","Cedar Road Elementary","827"," ","827"
"2016-2017","136","Chesapeake City","700","Crestwood Intermediate","775"," ","775"
"2016-2017","136","Chesapeake City","560","Crestwood Middle","530"," ","530"
"2016-2017","136","Chesapeake City","660","Deep Creek Central Elementary","664"," ","664"
"2016-2017","136","Chesapeake City","210","Deep Creek Elementary","733"," ","733"
"2016-2017","136","Chesapeake City","100","Deep Creek High","1,570"," ","1,570"
"2016-2017","136","Chesapeake City","610","Deep Creek Middle","481"," ","481"
"2016-2017","136","Chesapeake City","640","Edwin W. Chittum Elementary","779"," ","779"
"2016-2017","136","Chesapeake City","720","G.A. Treakle Elementary","512"," ","512"
"2016-2017","136","Chesapeake City","50","George W. Carver Intermediate","580"," ","580"
"2016-2017","136","Chesapeake City","820","Georgetown Primary","821"," ","821"
"2016-2017","136","Chesapeake City","950","Grassfield Elementary","972"," ","972"
"2016-2017","136","Chesapeake City","960","Grassfield High","2,107"," ","2,107"
"2016-2017","136","Chesapeake City","120","Great Bridge High","1,377"," ","1,377"
"2016-2017","136","Chesapeake City","850","Great Bridge Intermediate","670"," ","670"
"2016-2017","136","Chesapeake City","590","Great Bridge Middle","1,386"," ","1,386"
"2016-2017","136","Chesapeake City","680","Great Bridge Primary","567"," ","567"
"2016-2017","136","Chesapeake City","870","Greenbrier Intermediate","724"," ","724"
"2016-2017","136","Chesapeake City","972","Greenbrier Middle","930"," ","930"
"2016-2017","136","Chesapeake City","140","Greenbrier Primary","697"," ","697"
"2016-2017","136","Chesapeake City","340","Hickory Elementary","450"," ","450"
"2016-2017","136","Chesapeake City","890","Hickory High","1,712"," ","1,712"
"2016-2017","136","Chesapeake City","280","Hickory Middle","1,625"," ","1,625"
"2016-2017","136","Chesapeake City","920","Hugo A. Owens Middle","1,171"," ","1,171"
"2016-2017","136","Chesapeake City","830","Indian River High","1,672"," ","1,672"
"2016-2017","136","Chesapeake City","710","Indian River Middle","758"," ","758"
"2016-2017","136","Chesapeake City","973","Jolliff Middle","702"," ","702"
"2016-2017","136","Chesapeake City","160","Norfolk Highlands Primary","323"," ","323"
"2016-2017","136","Chesapeake City","80","Oscar F. Smith High","2,256"," ","2,256"
"2016-2017","136","Chesapeake City","10","Oscar Smith Middle","1,010"," ","1,010"
"2016-2017","136","Chesapeake City","730","Portlock Primary","586"," ","586"
"2016-2017","136","Chesapeake City","200","Rena B. Wright Primary","377"," ","377"
"2016-2017","136","Chesapeake City","620","Southeastern Elementary","773"," ","773"
"2016-2017","136","Chesapeake City","600","Southwestern Elementary","559"," ","559"
"2016-2017","136","Chesapeake City","750","Sparrow Road Intermediate","501"," ","501"
"2016-2017","136","Chesapeake City","40","Thurgood Marshall Elementary","547"," ","547"
"2016-2017","136","Chesapeake City","971","Truitt Intermediate","291"," ","291"
"2016-2017","136","Chesapeake City","840","Western Branch High","2,200"," ","2,200"
"2016-2017","136","Chesapeake City","810","Western Branch Intermediate","772"," ","772"
"2016-2017","136","Chesapeake City","740","Western Branch Middle","866"," ","866"
"2016-2017","136","Chesapeake City","110","Western Branch Primary","699"," ","699"
"2016-2017","21","Chesterfield County","620","A.M. Davis Elementary","657"," ","657"
"2016-2017","21","Chesterfield County","861","Alberta Smith Elementary","638"," ","638"
"2016-2017","21","Chesterfield County","631","Bailey Bridge Middle","1,397"," ","1,397"
"2016-2017","21","Chesterfield County","660","Bellwood Elementary","536"," ","536"
"2016-2017","21","Chesterfield County","430","Bensley Elementary","739","1","740"
"2016-2017","21","Chesterfield County","510","Bettie Weaver Elementary","674","1","675"
"2016-2017","21","Chesterfield County","130","Beulah Elementary","701"," ","701"
"2016-2017","21","Chesterfield County","20","Bon Air Elementary","650"," ","650"
"2016-2017","21","Chesterfield County","50","C.C. Wells Elementary","612"," ","612"
"2016-2017","21","Chesterfield County","492","C.E. Curtis Elementary","692"," ","692"
"2016-2017","21","Chesterfield County","30","Carver College and Career Academy","240"," ","240"
"2016-2017","21","Chesterfield County","420","Carver Middle","988","2","990"
"2016-2017","21","Chesterfield County","150","Clover Hill Elementary","739"," ","739"
"2016-2017","21","Chesterfield County","740","Clover Hill High","1,916","2","1,918"
"2016-2017","21","Chesterfield County","840","Cosby High","2,098","3","2,101"
"2016-2017","21","Chesterfield County","560","Crestwood Elementary","560"," ","560"
"2016-2017","21","Chesterfield County","480","Ecoff Elementary","758","1","759"
"2016-2017","21","Chesterfield County","870","Elizabeth Davis Middle","1,250","1","1,251"
"2016-2017","21","Chesterfield County","850","Elizabeth Scott Elementary","981"," ","981"
"2016-2017","21","Chesterfield County","390","Enon Elementary","495"," ","495"
"2016-2017","21","Chesterfield County","350","Ettrick Elementary","618"," ","618"
"2016-2017","21","Chesterfield County","300","Evergreen Elementary","1,080"," ","1,080"
"2016-2017","21","Chesterfield County","590","Falling Creek Elementary","780"," ","780"
"2016-2017","21","Chesterfield County","670","Falling Creek Middle","1,168"," ","1,168"
"2016-2017","21","Chesterfield County","180","Grange Hall Elementary","774"," ","774"
"2016-2017","21","Chesterfield County","70","Greenfield Elementary","562"," ","562"
"2016-2017","21","Chesterfield County","460","Harrowgate Elementary","607"," ","607"
"2016-2017","21","Chesterfield County","60","Hopkins Road Elementary","631"," ","631"
"2016-2017","21","Chesterfield County","550","J.A. Chalkley Elementary","888"," ","888"
"2016-2017","21","Chesterfield County","650","J.B. Watkins Elementary","1,142"," ","1,142"
"2016-2017","21","Chesterfield County","500","J.G. Hening Elementary","865"," ","865"
"2016-2017","21","Chesterfield County","400","Jacobs Road Elementary","799"," ","799"
"2016-2017","21","Chesterfield County","770","James River High","2,156","2","2,158"
"2016-2017","21","Chesterfield County","10","Lloyd C. Bird High","1,853","2","1,855"
"2016-2017","21","Chesterfield County","632","Manchester High","2,008","4","2,012"
"2016-2017","21","Chesterfield County","600","Manchester Middle","1,390"," ","1,390"
"2016-2017","21","Chesterfield County","780","Marguerite F. Christian Elementary","515"," ","515"
"2016-2017","21","Chesterfield County","370","Matoaca Elementary","399"," ","399"
"2016-2017","21","Chesterfield County","530","Matoaca High","1,781","5","1,786"
"2016-2017","21","Chesterfield County","110","Matoaca Middle","934","1","935"
"2016-2017","21","Chesterfield County","580","Meadowbrook High","1,719","1","1,720"
"2016-2017","21","Chesterfield County","320","Midlothian High","1,599","2","1,601"
"2016-2017","21","Chesterfield County","40","Midlothian Middle","1,279","1","1,280"
"2016-2017","21","Chesterfield County","280","Monacan High","1,448","1","1,449"
"2016-2017","21","Chesterfield County","360","O.B. Gates Elementary","709"," ","709"
"2016-2017","21","Chesterfield County","380","Providence Elementary","636"," ","636"
"2016-2017","21","Chesterfield County","690","Providence Middle","852","2","854"
"2016-2017","21","Chesterfield County","700","Reams Road Elementary","540"," ","540"
"2016-2017","21","Chesterfield County","730","Robious Elementary","677"," ","677"
"2016-2017","21","Chesterfield County","760","Robious Middle","1,294"," ","1,294"
"2016-2017","21","Chesterfield County","720","Salem Church Elementary","583","1","584"
"2016-2017","21","Chesterfield County","722","Salem Church Middle","922","1","923"
"2016-2017","21","Chesterfield County","800","Spring Run Elementary","906"," ","906"
"2016-2017","21","Chesterfield County","340","Swift Creek Elementary","855"," ","855"
"2016-2017","21","Chesterfield County","270","Swift Creek Middle","966","1","967"
"2016-2017","21","Chesterfield County","410","Thelma Crenshaw Elementary","697"," ","697"
"2016-2017","21","Chesterfield County","610","Thomas Dale High","2,307","6","2,313"
"2016-2017","21","Chesterfield County","880","Tomahawk Creek Middle","1,503","2","1,505"
"2016-2017","21","Chesterfield County","290","W.W. Gordon Elementary","600"," ","600"
"2016-2017","21","Chesterfield County","860","Winterpock Elementary","959"," ","959"
"2016-2017","21","Chesterfield County","440","Woolridge Elementary","738"," ","738"
"2016-2017","22","Clarke County","250","Boyce Elementary","300"," ","300"
"2016-2017","22","Clarke County","10","Clarke County High","697"," ","697"
"2016-2017","22","Clarke County","290","D.G. Cooley Elementary","562","2","564"
"2016-2017","22","Clarke County","280","Johnson-Williams Middle","436"," ","436"
"2016-2017","202","Colonial Beach","22","Colonial Beach Elementary","370"," ","370"
"2016-2017","202","Colonial Beach","21","Colonial Beach High","227"," ","227"
"2016-2017","106","Colonial Heights City","40","Colonial Heights High","906"," ","906"
"2016-2017","106","Colonial Heights City","20","Colonial Heights Middle","649"," ","649"
"2016-2017","106","Colonial Heights City","50","Lakeview Elementary","369"," ","369"
"2016-2017","106","Colonial Heights City","30","North Elementary","331"," ","331"
"2016-2017","106","Colonial Heights City","60","Tussing Elementary","582"," ","582"
"2016-2017","107","Covington City","350","Covington High","373"," ","373"
"2016-2017","107","Covington City","260","Edgemont Primary","413"," ","413"
"2016-2017","107","Covington City","360","Jeter-Watson Intermediate","278"," ","278"
"2016-2017","23","Craig County","11","Craig County High","358"," ","358"
"2016-2017","23","Craig County","10","McCleary Elementary","257"," ","257"
"2016-2017","24","Culpeper County","240","A.G. Richardson Elementary","563"," ","563"
"2016-2017","24","Culpeper County","480","Culpeper County High","1,196","1","1,197"
"2016-2017","24","Culpeper County","20","Culpeper Middle","1,006"," ","1,006"
"2016-2017","24","Culpeper County","50","Eastern View High","1,335","1","1,336"
"2016-2017","24","Culpeper County","450","Emerald Hill Elementary","741"," ","741"
"2016-2017","24","Culpeper County","470","Farmington Elementary","651"," ","651"
"2016-2017","24","Culpeper County","581","Floyd T. Binns Middle","755"," ","755"
"2016-2017","24","Culpeper County","582","Galbreath-Marshall Building","7"," ","7"
"2016-2017","24","Culpeper County","10","Pearl Sample Elementary","627"," ","627"
"2016-2017","24","Culpeper County","460","Sycamore Park Elementary","614"," ","614"
"2016-2017","24","Culpeper County","40","Yowell Elementary","707"," ","707"
"2016-2017","25","Cumberland County","140","Cumberland Elementary","541"," ","541"
"2016-2017","25","Cumberland County","151","Cumberland High","424"," ","424"
"2016-2017","25","Cumberland County","152","Cumberland Middle","399"," ","399"
"2016-2017","108","Danville City","490","Edwin A. Gibson Elementary","561"," ","561"
"2016-2017","108","Danville City","20","Forest Hills Elementary","260"," ","260"
"2016-2017","108","Danville City","190","G.L.H. Johnson Elementary","549"," ","549"
"2016-2017","108","Danville City","1374","Galileo Magnet High","286"," ","286"
"2016-2017","108","Danville City","210","George Washington High","1,353"," ","1,353"
"2016-2017","108","Danville City","200","Grove Park Preschool","114"," ","114"
"2016-2017","108","Danville City","139","JM Langston Focus","80"," ","80"
"2016-2017","108","Danville City","260","O. Trent Bonner Middle","641"," ","641"
"2016-2017","108","Danville City","250","Park Avenue Elementary","453"," ","453"
"2016-2017","108","Danville City","40","Schoolfield Elementary","580"," ","580"
"2016-2017","108","Danville City","30","The Northside Preschool","125"," ","125"
"2016-2017","108","Danville City","1372","Westwood Middle","574"," ","574"
"2016-2017","108","Danville City","220","Woodberry Hills Elementary","380"," ","380"
"2016-2017","26","Dickenson County","20","Clintwood Elementary","523"," ","523"
"2016-2017","26","Dickenson County","530","Ervinton Elementary","138"," ","138"
"2016-2017","26","Dickenson County","275","Ridgeview High","636"," ","636"
"2016-2017","26","Dickenson County","280","Ridgeview Middle","472"," ","472"
"2016-2017","26","Dickenson County","860","Sandlick Elementary","420"," ","420"
"2016-2017","27","Dinwiddie County","500","Dinwiddie County High","1,349"," ","1,349"
"2016-2017","27","Dinwiddie County","471","Dinwiddie County Middle","998"," ","998"
"2016-2017","27","Dinwiddie County","310","Dinwiddie Elementary","326"," ","326"
"2016-2017","27","Dinwiddie County","250","Midway Elementary","391"," ","391"
"2016-2017","27","Dinwiddie County","10","Southside Elementary","506"," ","506"
"2016-2017","27","Dinwiddie County","180","Sunnyside Elementary","258"," ","258"
"2016-2017","27","Dinwiddie County","520","Sutherland Elementary","566"," ","566"
"2016-2017","28","Essex County","10","Essex High","423"," ","423"
"2016-2017","28","Essex County","150","Essex Intermediate","440"," ","440"
"2016-2017","28","Essex County","160","Tappahannock Elementary","543"," ","543"
"2016-2017","29","Fairfax County","2203","Aldrin Elementary","726"," ","726"
"2016-2017","29","Fairfax County","660","Annandale High","2,160","4","2,164"
"2016-2017","29","Fairfax County","1360","Annandale Terrace Elementary","690"," ","690"
"2016-2017","29","Fairfax County","110","Archer Elementary","671"," ","671"
"2016-2017","29","Fairfax County","1530","Armstrong Elementary","461"," ","461"
"2016-2017","29","Fairfax County","550","Bailey's Elementary School for the Arts and Sciences","581"," ","581"
"2016-2017","29","Fairfax County","1730","Beech Tree Elementary","384"," ","384"
"2016-2017","29","Fairfax County","560","Belle View Elementary","564"," ","564"
"2016-2017","29","Fairfax County","720","Belvedere Elementary","729"," ","729"
"2016-2017","29","Fairfax County","2000","Bonnie Brae Elementary","750"," ","750"
"2016-2017","29","Fairfax County","1090","Braddock Elementary","819"," ","819"
"2016-2017","29","Fairfax County","940","Bren Mar Park Elementary","538"," ","538"
"2016-2017","29","Fairfax County","1790","Brookfield Elementary","836"," ","836"
"2016-2017","29","Fairfax County","2201","Bryant Alternative High","299"," ","299"
"2016-2017","29","Fairfax County","700","Bucknell Elementary","250"," ","250"
"2016-2017","29","Fairfax County","2225","Bull Run Elementary","834"," ","834"
"2016-2017","29","Fairfax County","680","Bush Hill Elementary","480"," ","480"
"2016-2017","29","Fairfax County","1940","Camelot Elementary","695"," ","695"
"2016-2017","29","Fairfax County","620","Cameron Elementary","530"," ","530"
"2016-2017","29","Fairfax County","1590","Canterbury Woods Elementary","767"," ","767"
"2016-2017","29","Fairfax County","1690","Cardinal Forest Elementary","657"," ","657"
"2016-2017","29","Fairfax County","2222","Carson Middle","1,528"," ","1,528"
"2016-2017","29","Fairfax County","2090","Centre Ridge Elementary","816"," ","816"
"2016-2017","29","Fairfax County","2205","Centreville Elementary","860"," ","860"
"2016-2017","29","Fairfax County","200","Centreville High","2,535","1","2,536"
"2016-2017","29","Fairfax County","131","Chantilly High","2,770"," ","2,770"
"2016-2017","29","Fairfax County","480","Cherry Run Elementary","454"," ","454"
"2016-2017","29","Fairfax County","100","Chesterbrook Elementary","679"," ","679"
