"School Year","Division Number","Division Name","School Number","School Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","8","Augusta County","700","Ladd Elementary","353"," ","353"
"2010-2011","8","Augusta County","40","North River Elementary","299"," ","299"
"2010-2011","8","Augusta County","740","Riverheads Elementary","509"," ","509"
"2010-2011","8","Augusta County","680","Riverheads High","521","1","522"
"2010-2011","8","Augusta County","90","S. Gordon Stewart Middle","604"," ","604"
"2010-2011","8","Augusta County","440","Stuarts Draft Elementary","592"," ","592"
"2010-2011","8","Augusta County","730","Stuarts Draft High","755"," ","755"
"2010-2011","8","Augusta County","60","Stuarts Draft Middle","528"," ","528"
"2010-2011","8","Augusta County","710","Verona Elementary","368"," ","368"
"2010-2011","8","Augusta County","640","Wilson Elementary","398"," ","398"
"2010-2011","8","Augusta County","720","Wilson Memorial High","722"," ","722"
"2010-2011","8","Augusta County","844","Wilson Middle","566"," ","566"
"2010-2011","9","Bath County","140","Bath County High","288"," ","288"
"2010-2011","9","Bath County","120","Millboro Elementary","129"," ","129"
"2010-2011","9","Bath County","150","Valley Elementary","241"," ","241"
"2010-2011","10","Bedford County","480","Bedford Elementary","409"," ","409"
"2010-2011","10","Bedford County","490","Bedford Middle","475"," ","475"
"2010-2011","10","Bedford County","1200","Bedford Primary","361"," ","361"
"2010-2011","10","Bedford County","30","Big Island Elementary","210"," ","210"
"2010-2011","10","Bedford County","1160","Body Camp Elementary","169"," ","169"
"2010-2011","10","Bedford County","160","Boonsboro Elementary","302"," ","302"
"2010-2011","10","Bedford County","500","Forest Elementary","456","1","457"
"2010-2011","10","Bedford County","1211","Forest Middle","1,011"," ","1,011"
"2010-2011","10","Bedford County","1214","Goodview Elementary","507"," ","507"
"2010-2011","10","Bedford County","980","Huddleston Elementary","225"," ","225"
"2010-2011","10","Bedford County","1212","Jefferson Forest High","1,301","2","1,303"
"2010-2011","10","Bedford County","1180","Liberty High","940"," ","940"
"2010-2011","10","Bedford County","970","Moneta Elementary","209"," ","209"
"2010-2011","10","Bedford County","180","Montvale Elementary","273"," ","273"
"2010-2011","10","Bedford County","610","New London Academy Elementary","352"," ","352"
"2010-2011","10","Bedford County","1170","Otter River Elementary","214"," ","214"
"2010-2011","10","Bedford County","1190","Staunton River High","1,110"," ","1,110"
"2010-2011","10","Bedford County","1191","Staunton River Middle","809"," ","809"
"2010-2011","10","Bedford County","640","Stewartsville Elementary","406"," ","406"
"2010-2011","10","Bedford County","450","Thaxton Elementary","236"," ","236"
"2010-2011","10","Bedford County","1213","Thomas Jefferson Elementary","617"," ","617"
"2010-2011","11","Bland County","232","Bland Elementary","266"," ","266"
"2010-2011","11","Bland County","231","Bland High","188"," ","188"
"2010-2011","11","Bland County","62","Rocky Gap Elementary","244"," ","244"
"2010-2011","11","Bland County","61","Rocky Gap High","199"," ","199"
"2010-2011","12","Botetourt County","220","Breckinridge Elementary","248","1","249"
"2010-2011","12","Botetourt County","20","Buchanan Elementary","320"," ","320"
"2010-2011","12","Botetourt County","420","Central Academy Middle","464"," ","464"
"2010-2011","12","Botetourt County","390","Cloverdale Elementary","319"," ","319"
"2010-2011","12","Botetourt County","400","Colonial Elementary","466"," ","466"
"2010-2011","12","Botetourt County","30","Eagle Rock Elementary","158"," ","158"
"2010-2011","12","Botetourt County","460","Greenfield Elementary","419"," ","419"
"2010-2011","12","Botetourt County","430","James River High","484"," ","484"
"2010-2011","12","Botetourt County","440","Lord Botetourt High","1,099"," ","1,099"
"2010-2011","12","Botetourt County","450","Read Mountain Middle","715"," ","715"
"2010-2011","12","Botetourt County","40","Troutville Elementary","317"," ","317"
"2010-2011","102","Bristol City","60","Highland View Elementary","214"," ","214"
"2010-2011","102","Bristol City","100","Joseph Van Pelt Elementary","413"," ","413"
"2010-2011","102","Bristol City","70","Stonewall Jackson Elementary","286"," ","286"
"2010-2011","102","Bristol City","80","Virginia High","670"," ","670"
"2010-2011","102","Bristol City","10","Virginia Middle","550"," ","550"
"2010-2011","102","Bristol City","90","Washington-Lee Elementary","264"," ","264"
"2010-2011","13","Brunswick County","650","Brunswick High","636"," ","636"
"2010-2011","13","Brunswick County","660","James S. Russell Middle","475"," ","475"
"2010-2011","13","Brunswick County","690","Meherrin Powellton Elementary","287"," ","287"
"2010-2011","13","Brunswick County","700","Red Oak-Sturgeon Elementary","218"," ","218"
"2010-2011","13","Brunswick County","720","Totaro Elementary","481"," ","481"
"2010-2011","14","Buchanan County","90","Council Elementary/Middle","206"," ","206"
"2010-2011","14","Buchanan County","1000","Council High","140"," ","140"
"2010-2011","14","Buchanan County","990","Grundy High","491"," ","491"
"2010-2011","14","Buchanan County","120","Hurley Elementary/Middle","406"," ","406"
"2010-2011","14","Buchanan County","1020","Hurley High","242"," ","242"
"2010-2011","14","Buchanan County","20","J.M. Bevins Elementary","130"," ","130"
"2010-2011","14","Buchanan County","1040","Riverview Elementary/Middle","872"," ","872"
"2010-2011","14","Buchanan County","10","Russell Prater Elementary","123"," ","123"
"2010-2011","14","Buchanan County","1041","Twin Valley Elementary/Middle","428"," ","428"
"2010-2011","14","Buchanan County","1042","Twin Valley High","295"," ","295"
"2010-2011","15","Buckingham County","700","Buckingham County High","641"," ","641"
"2010-2011","15","Buckingham County","721","Buckingham County Middle","445"," ","445"
"2010-2011","15","Buckingham County","10","Buckingham Primary","192"," ","192"
"2010-2011","15","Buckingham County","722","Dillwyn Elementary","202"," ","202"
"2010-2011","15","Buckingham County","510","Dillwyn Primary","343"," ","343"
"2010-2011","15","Buckingham County","730","Gold Hill Elementary","212"," ","212"
"2010-2011","103","Buena Vista City","40","Enderly Heights Elementary","255"," ","255"
"2010-2011","103","Buena Vista City","70","F.W. Kling Jr. Elementary","180"," ","180"
"2010-2011","103","Buena Vista City","62","Parry McCluer High","335"," ","335"
"2010-2011","103","Buena Vista City","61","Parry McCluer Middle","365"," ","365"
