"School Year","Division Number","Division Name","School Number","School Name","English Learners include Former ELs","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","5","Amherst County","750","Amherst County High","Y","<"," ","<"
"2010-2011","5","Amherst County","790","Amherst Elementary","N","325"," ","325"
"2010-2011","5","Amherst County","790","Amherst Elementary","Y","<"," ","<"
"2010-2011","5","Amherst County","670","Amherst Middle","N","438"," ","438"
"2010-2011","5","Amherst County","770","Central Elementary","N","299"," ","299"
"2010-2011","5","Amherst County","770","Central Elementary","Y","<"," ","<"
"2010-2011","5","Amherst County","760","Elon Elementary","N","274"," ","274"
"2010-2011","5","Amherst County","760","Elon Elementary","Y","<"," ","<"
"2010-2011","5","Amherst County","500","Madison Heights Elementary","N","470"," ","470"
"2010-2011","5","Amherst County","500","Madison Heights Elementary","Y","<"," ","<"
"2010-2011","5","Amherst County","20","Monelison Middle","N","628"," ","628"
"2010-2011","5","Amherst County","20","Monelison Middle","Y","<"," ","<"
"2010-2011","5","Amherst County","240","Pleasant View Elementary","N","96"," ","96"
"2010-2011","5","Amherst County","740","Temperance Elementary","N","90"," ","90"
"2010-2011","5","Amherst County","740","Temperance Elementary","Y","<"," ","<"
"2010-2011","6","Appomattox County","260","Appomattox County High","N","684"," ","684"
"2010-2011","6","Appomattox County","110","Appomattox Elementary","N","533"," ","533"
"2010-2011","6","Appomattox County","110","Appomattox Elementary","Y","<"," ","<"
"2010-2011","6","Appomattox County","160","Appomattox Middle","N","546"," ","546"
"2010-2011","6","Appomattox County","250","Appomattox Primary","N","536"," ","536"
"2010-2011","7","Arlington County","350","Abingdon Elementary","N","245"," ","245"
"2010-2011","7","Arlington County","350","Abingdon Elementary","Y","258"," ","258"
"2010-2011","7","Arlington County","613","Arlington Science Focus","N","384"," ","384"
"2010-2011","7","Arlington County","613","Arlington Science Focus","Y","163"," ","163"
"2010-2011","7","Arlington County","470","Arlington Traditional","N","365"," ","365"
"2010-2011","7","Arlington County","470","Arlington Traditional","Y","83"," ","83"
"2010-2011","7","Arlington County","490","Ashlawn Elementary","N","322"," ","322"
"2010-2011","7","Arlington County","490","Ashlawn Elementary","Y","104"," ","104"
"2010-2011","7","Arlington County","150","Barcroft Elementary","N","169"," ","169"
"2010-2011","7","Arlington County","150","Barcroft Elementary","Y","245"," ","245"
"2010-2011","7","Arlington County","250","Barrett Elementary","N","277"," ","277"
"2010-2011","7","Arlington County","250","Barrett Elementary","Y","272"," ","272"
"2010-2011","7","Arlington County","615","Campbell Elementary","N","193"," ","193"
"2010-2011","7","Arlington County","615","Campbell Elementary","Y","209"," ","209"
"2010-2011","7","Arlington County","90","Carlin Springs Elementary","N","118"," ","118"
"2010-2011","7","Arlington County","90","Carlin Springs Elementary","Y","488"," ","488"
"2010-2011","7","Arlington County","622","Claremont Immersion","N","318"," ","318"
"2010-2011","7","Arlington County","622","Claremont Immersion","Y","210"," ","210"
"2010-2011","7","Arlington County","200","Drew Model Elementary","N","341"," ","341"
"2010-2011","7","Arlington County","200","Drew Model Elementary","Y","210"," ","210"
"2010-2011","7","Arlington County","111","Francis Scott Key Elementary","N","376"," ","376"
"2010-2011","7","Arlington County","111","Francis Scott Key Elementary","Y","280"," ","280"
"2010-2011","7","Arlington County","100","Glebe Elementary","N","393"," ","393"
"2010-2011","7","Arlington County","100","Glebe Elementary","Y","82"," ","82"
"2010-2011","7","Arlington County","611","Gunston Middle","N","484"," ","484"
"2010-2011","7","Arlington County","611","Gunston Middle","Y","271"," ","271"
"2010-2011","7","Arlington County","160","Henry Elementary","N","232"," ","232"
"2010-2011","7","Arlington County","160","Henry Elementary","Y","163"," ","163"
"2010-2011","7","Arlington County","614","Hoffman-Boston Elementary","N","128"," ","128"
"2010-2011","7","Arlington County","614","Hoffman-Boston Elementary","Y","261"," ","261"
"2010-2011","7","Arlington County","440","Jamestown Elementary","N","559"," ","559"
"2010-2011","7","Arlington County","440","Jamestown Elementary","Y","22"," ","22"
"2010-2011","7","Arlington County","180","Jefferson Middle","N","373"," ","373"
"2010-2011","7","Arlington County","180","Jefferson Middle","Y","267"," ","267"
"2010-2011","7","Arlington County","500","Kenmore Middle","N","402"," ","402"
"2010-2011","7","Arlington County","500","Kenmore Middle","Y","343"," ","343"
"2010-2011","7","Arlington County","460","Long Branch Elementary","N","396"," ","396"
"2010-2011","7","Arlington County","460","Long Branch Elementary","Y","150"," ","150"
"2010-2011","7","Arlington County","380","McKinley Elementary","N","439"," ","439"
"2010-2011","7","Arlington County","380","McKinley Elementary","Y","52"," ","52"
"2010-2011","7","Arlington County","410","Nottingham Elementary","N","576"," ","576"
"2010-2011","7","Arlington County","410","Nottingham Elementary","Y","10"," ","10"
"2010-2011","7","Arlington County","360","Oakridge Elementary","N","366"," ","366"
"2010-2011","7","Arlington County","360","Oakridge Elementary","Y","252"," ","252"
"2010-2011","7","Arlington County","510","Randolph Elementary","N","92"," ","92"
"2010-2011","7","Arlington County","510","Randolph Elementary","Y","346"," ","346"
"2010-2011","7","Arlington County","240","Swanson Middle","N","815"," ","815"
"2010-2011","7","Arlington County","240","Swanson Middle","Y","139"," ","139"
"2010-2011","7","Arlington County","420","Taylor Elementary","N","658"," ","658"
"2010-2011","7","Arlington County","420","Taylor Elementary","Y","28"," ","28"
"2010-2011","7","Arlington County","211","Tuckahoe Elementary","N","614"," ","614"
"2010-2011","7","Arlington County","211","Tuckahoe Elementary","Y","28"," ","28"
"2010-2011","7","Arlington County","450","Wakefield High","N","1,073"," ","1,073"
"2010-2011","7","Arlington County","450","Wakefield High","Y","636"," ","636"
"2010-2011","7","Arlington County","80","Washington-Lee High","N","1,638","<","1,639"
"2010-2011","7","Arlington County","80","Washington-Lee High","Y","585"," ","585"
"2010-2011","7","Arlington County","480","Williamsburg Middle","N","891"," ","891"
"2010-2011","7","Arlington County","480","Williamsburg Middle","Y","122"," ","122"
"2010-2011","7","Arlington County","330","Yorktown High","N","1,705"," ","1,705"
"2010-2011","7","Arlington County","330","Yorktown High","Y","264"," ","264"
"2010-2011","8","Augusta County","210","Beverley Manor Elementary","N","340"," ","340"
"2010-2011","8","Augusta County","210","Beverley Manor Elementary","Y","<"," ","<"
"2010-2011","8","Augusta County","212","Beverley Manor Middle","N","745"," ","745"
"2010-2011","8","Augusta County","212","Beverley Manor Middle","Y","<"," ","<"
"2010-2011","8","Augusta County","660","Buffalo Gap High","N","569"," ","569"
"2010-2011","8","Augusta County","660","Buffalo Gap High","Y","<"," ","<"
"2010-2011","8","Augusta County","30","Cassell Elementary","N","484"," ","484"
"2010-2011","8","Augusta County","30","Cassell Elementary","Y","<"," ","<"
"2010-2011","8","Augusta County","140","Churchville Elementary","N","332"," ","332"
"2010-2011","8","Augusta County","370","Craigsville Elementary","N","158"," ","158"
"2010-2011","8","Augusta County","842","Edward G. Clymore Elementary","N","650"," ","650"
"2010-2011","8","Augusta County","842","Edward G. Clymore Elementary","Y","49"," ","49"
"2010-2011","8","Augusta County","670","Fort Defiance High","N","852"," ","852"
"2010-2011","8","Augusta County","670","Fort Defiance High","Y","19"," ","19"
"2010-2011","8","Augusta County","843","Guy K. Stump Elementary","N","340"," ","340"
"2010-2011","8","Augusta County","843","Guy K. Stump Elementary","Y","<"," ","<"
"2010-2011","8","Augusta County","700","Ladd Elementary","N","351"," ","351"
"2010-2011","8","Augusta County","700","Ladd Elementary","Y","<"," ","<"
"2010-2011","8","Augusta County","40","North River Elementary","N","274"," ","274"
"2010-2011","8","Augusta County","40","North River Elementary","Y","25"," ","25"
"2010-2011","8","Augusta County","740","Riverheads Elementary","N","509"," ","509"
"2010-2011","8","Augusta County","680","Riverheads High","N","519","<","520"
"2010-2011","8","Augusta County","680","Riverheads High","Y","<"," ","<"
"2010-2011","8","Augusta County","90","S. Gordon Stewart Middle","N","594"," ","594"
"2010-2011","8","Augusta County","90","S. Gordon Stewart Middle","Y","10"," ","10"
"2010-2011","8","Augusta County","440","Stuarts Draft Elementary","N","583"," ","583"
"2010-2011","8","Augusta County","440","Stuarts Draft Elementary","Y","<"," ","<"
"2010-2011","8","Augusta County","730","Stuarts Draft High","N","752"," ","752"
"2010-2011","8","Augusta County","730","Stuarts Draft High","Y","<"," ","<"
"2010-2011","8","Augusta County","60","Stuarts Draft Middle","N","526"," ","526"
"2010-2011","8","Augusta County","60","Stuarts Draft Middle","Y","<"," ","<"
"2010-2011","8","Augusta County","710","Verona Elementary","N","354"," ","354"
"2010-2011","8","Augusta County","710","Verona Elementary","Y","14"," ","14"
"2010-2011","8","Augusta County","640","Wilson Elementary","N","386"," ","386"
"2010-2011","8","Augusta County","640","Wilson Elementary","Y","12"," ","12"
"2010-2011","8","Augusta County","720","Wilson Memorial High","N","719"," ","719"
"2010-2011","8","Augusta County","720","Wilson Memorial High","Y","<"," ","<"
"2010-2011","8","Augusta County","844","Wilson Middle","N","563"," ","563"
"2010-2011","8","Augusta County","844","Wilson Middle","Y","<"," ","<"
"2010-2011","9","Bath County","140","Bath County High","N","281"," ","281"
"2010-2011","9","Bath County","140","Bath County High","Y","<"," ","<"
"2010-2011","9","Bath County","120","Millboro Elementary","N","129"," ","129"
"2010-2011","9","Bath County","150","Valley Elementary","N","237"," ","237"
"2010-2011","9","Bath County","150","Valley Elementary","Y","<"," ","<"
"2010-2011","10","Bedford County","480","Bedford Elementary","N","405"," ","405"
"2010-2011","10","Bedford County","480","Bedford Elementary","Y","<"," ","<"
"2010-2011","10","Bedford County","490","Bedford Middle","N","472"," ","472"
"2010-2011","10","Bedford County","490","Bedford Middle","Y","<"," ","<"
"2010-2011","10","Bedford County","1200","Bedford Primary","N","357"," ","357"
"2010-2011","10","Bedford County","1200","Bedford Primary","Y","<"," ","<"
"2010-2011","10","Bedford County","30","Big Island Elementary","N","210"," ","210"
