"School Year","Division Number","Division Name","School Number","School Name","Disabled","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2010-2011","101","Alexandria City","333","Samuel W. Tucker Elementary","N","618"," ","618"
"2010-2011","101","Alexandria City","333","Samuel W. Tucker Elementary","Y","64"," ","64"
"2010-2011","101","Alexandria City","210","T.C. Williams High","N","2,625"," ","2,625"
"2010-2011","101","Alexandria City","210","T.C. Williams High","Y","437"," ","437"
"2010-2011","101","Alexandria City","190","William Ramsay Elementary","N","649"," ","649"
"2010-2011","101","Alexandria City","190","William Ramsay Elementary","Y","53"," ","53"
"2010-2011","3","Alleghany County","310","Alleghany High","N","723"," ","723"
"2010-2011","3","Alleghany County","310","Alleghany High","Y","137"," ","137"
"2010-2011","3","Alleghany County","280","Boiling Spring Elementary","N","105"," ","105"
"2010-2011","3","Alleghany County","280","Boiling Spring Elementary","Y","20"," ","20"
"2010-2011","3","Alleghany County","110","Callaghan Elementary","N","168"," ","168"
"2010-2011","3","Alleghany County","110","Callaghan Elementary","Y","42"," ","42"
"2010-2011","3","Alleghany County","1040","Clifton Middle","N","577"," ","577"
"2010-2011","3","Alleghany County","1040","Clifton Middle","Y","101"," ","101"
"2010-2011","3","Alleghany County","20","Falling Spring Elementary","N","136"," ","136"
"2010-2011","3","Alleghany County","20","Falling Spring Elementary","Y","19"," ","19"
"2010-2011","3","Alleghany County","1041","Mountain View Elementary","N","488"," ","488"
"2010-2011","3","Alleghany County","1041","Mountain View Elementary","Y","94"," ","94"
"2010-2011","3","Alleghany County","90","Sharon Elementary","N","158"," ","158"
"2010-2011","3","Alleghany County","90","Sharon Elementary","Y","36"," ","36"
"2010-2011","4","Amelia County","220","Amelia County Elementary","N","603"," ","603"
"2010-2011","4","Amelia County","220","Amelia County Elementary","Y","91"," ","91"
"2010-2011","4","Amelia County","10","Amelia County High","N","476"," ","476"
"2010-2011","4","Amelia County","10","Amelia County High","Y","70"," ","70"
"2010-2011","4","Amelia County","210","Amelia County Middle","N","511"," ","511"
"2010-2011","4","Amelia County","210","Amelia County Middle","Y","64"," ","64"
"2010-2011","5","Amherst County","780","Amelon Elementary","N","393"," ","393"
"2010-2011","5","Amherst County","780","Amelon Elementary","Y","70"," ","70"
"2010-2011","5","Amherst County","750","Amherst County High","N","1,351"," ","1,351"
"2010-2011","5","Amherst County","750","Amherst County High","Y","152"," ","152"
"2010-2011","5","Amherst County","790","Amherst Elementary","N","274"," ","274"
"2010-2011","5","Amherst County","790","Amherst Elementary","Y","53"," ","53"
"2010-2011","5","Amherst County","670","Amherst Middle","N","377"," ","377"
"2010-2011","5","Amherst County","670","Amherst Middle","Y","61"," ","61"
"2010-2011","5","Amherst County","770","Central Elementary","N","254"," ","254"
"2010-2011","5","Amherst County","770","Central Elementary","Y","46"," ","46"
"2010-2011","5","Amherst County","760","Elon Elementary","N","240"," ","240"
"2010-2011","5","Amherst County","760","Elon Elementary","Y","36"," ","36"
"2010-2011","5","Amherst County","500","Madison Heights Elementary","N","433"," ","433"
"2010-2011","5","Amherst County","500","Madison Heights Elementary","Y","41"," ","41"
"2010-2011","5","Amherst County","20","Monelison Middle","N","564"," ","564"
"2010-2011","5","Amherst County","20","Monelison Middle","Y","66"," ","66"
"2010-2011","5","Amherst County","240","Pleasant View Elementary","N","87"," ","87"
"2010-2011","5","Amherst County","240","Pleasant View Elementary","Y","<"," ","<"
"2010-2011","5","Amherst County","740","Temperance Elementary","N","83"," ","83"
"2010-2011","5","Amherst County","740","Temperance Elementary","Y","<"," ","<"
"2010-2011","6","Appomattox County","260","Appomattox County High","N","605"," ","605"
"2010-2011","6","Appomattox County","260","Appomattox County High","Y","79"," ","79"
"2010-2011","6","Appomattox County","110","Appomattox Elementary","N","477"," ","477"
"2010-2011","6","Appomattox County","110","Appomattox Elementary","Y","57"," ","57"
"2010-2011","6","Appomattox County","160","Appomattox Middle","N","475"," ","475"
"2010-2011","6","Appomattox County","160","Appomattox Middle","Y","71"," ","71"
"2010-2011","6","Appomattox County","250","Appomattox Primary","N","469"," ","469"
"2010-2011","6","Appomattox County","250","Appomattox Primary","Y","67"," ","67"
"2010-2011","7","Arlington County","350","Abingdon Elementary","N","433"," ","433"
"2010-2011","7","Arlington County","350","Abingdon Elementary","Y","70"," ","70"
"2010-2011","7","Arlington County","613","Arlington Science Focus","N","504"," ","504"
"2010-2011","7","Arlington County","613","Arlington Science Focus","Y","43"," ","43"
"2010-2011","7","Arlington County","470","Arlington Traditional","N","386"," ","386"
"2010-2011","7","Arlington County","470","Arlington Traditional","Y","62"," ","62"
"2010-2011","7","Arlington County","490","Ashlawn Elementary","N","369"," ","369"
"2010-2011","7","Arlington County","490","Ashlawn Elementary","Y","57"," ","57"
"2010-2011","7","Arlington County","150","Barcroft Elementary","N","348"," ","348"
"2010-2011","7","Arlington County","150","Barcroft Elementary","Y","66"," ","66"
"2010-2011","7","Arlington County","250","Barrett Elementary","N","420"," ","420"
"2010-2011","7","Arlington County","250","Barrett Elementary","Y","129"," ","129"
"2010-2011","7","Arlington County","615","Campbell Elementary","N","345"," ","345"
"2010-2011","7","Arlington County","615","Campbell Elementary","Y","57"," ","57"
"2010-2011","7","Arlington County","90","Carlin Springs Elementary","N","504"," ","504"
"2010-2011","7","Arlington County","90","Carlin Springs Elementary","Y","102"," ","102"
"2010-2011","7","Arlington County","622","Claremont Immersion","N","469"," ","469"
"2010-2011","7","Arlington County","622","Claremont Immersion","Y","59"," ","59"
"2010-2011","7","Arlington County","200","Drew Model Elementary","N","507"," ","507"
"2010-2011","7","Arlington County","200","Drew Model Elementary","Y","44"," ","44"
"2010-2011","7","Arlington County","111","Francis Scott Key Elementary","N","581"," ","581"
"2010-2011","7","Arlington County","111","Francis Scott Key Elementary","Y","75"," ","75"
"2010-2011","7","Arlington County","100","Glebe Elementary","N","408"," ","408"
"2010-2011","7","Arlington County","100","Glebe Elementary","Y","67"," ","67"
"2010-2011","7","Arlington County","611","Gunston Middle","N","661"," ","661"
"2010-2011","7","Arlington County","611","Gunston Middle","Y","94"," ","94"
"2010-2011","7","Arlington County","160","Henry Elementary","N","322"," ","322"
"2010-2011","7","Arlington County","160","Henry Elementary","Y","73"," ","73"
"2010-2011","7","Arlington County","614","Hoffman-Boston Elementary","N","342"," ","342"
"2010-2011","7","Arlington County","614","Hoffman-Boston Elementary","Y","47"," ","47"
"2010-2011","7","Arlington County","440","Jamestown Elementary","N","525"," ","525"
"2010-2011","7","Arlington County","440","Jamestown Elementary","Y","56"," ","56"
"2010-2011","7","Arlington County","180","Jefferson Middle","N","509"," ","509"
"2010-2011","7","Arlington County","180","Jefferson Middle","Y","131"," ","131"
"2010-2011","7","Arlington County","500","Kenmore Middle","N","588"," ","588"
"2010-2011","7","Arlington County","500","Kenmore Middle","Y","157"," ","157"
"2010-2011","7","Arlington County","460","Long Branch Elementary","N","427"," ","427"
"2010-2011","7","Arlington County","460","Long Branch Elementary","Y","119"," ","119"
"2010-2011","7","Arlington County","380","McKinley Elementary","N","419"," ","419"
"2010-2011","7","Arlington County","380","McKinley Elementary","Y","72"," ","72"
"2010-2011","7","Arlington County","410","Nottingham Elementary","N","524"," ","524"
"2010-2011","7","Arlington County","410","Nottingham Elementary","Y","62"," ","62"
"2010-2011","7","Arlington County","360","Oakridge Elementary","N","551"," ","551"
"2010-2011","7","Arlington County","360","Oakridge Elementary","Y","67"," ","67"
"2010-2011","7","Arlington County","510","Randolph Elementary","N","349"," ","349"
"2010-2011","7","Arlington County","510","Randolph Elementary","Y","89"," ","89"
"2010-2011","7","Arlington County","240","Swanson Middle","N","836"," ","836"
"2010-2011","7","Arlington County","240","Swanson Middle","Y","118"," ","118"
"2010-2011","7","Arlington County","420","Taylor Elementary","N","621"," ","621"
"2010-2011","7","Arlington County","420","Taylor Elementary","Y","65"," ","65"
"2010-2011","7","Arlington County","211","Tuckahoe Elementary","N","555"," ","555"
"2010-2011","7","Arlington County","211","Tuckahoe Elementary","Y","87"," ","87"
"2010-2011","7","Arlington County","450","Wakefield High","N","1,419"," ","1,419"
"2010-2011","7","Arlington County","450","Wakefield High","Y","290"," ","290"
"2010-2011","7","Arlington County","80","Washington-Lee High","N","1,957","<","1,958"
"2010-2011","7","Arlington County","80","Washington-Lee High","Y","266"," ","266"
"2010-2011","7","Arlington County","480","Williamsburg Middle","N","889"," ","889"
"2010-2011","7","Arlington County","480","Williamsburg Middle","Y","124"," ","124"
"2010-2011","7","Arlington County","330","Yorktown High","N","1,669"," ","1,669"
"2010-2011","7","Arlington County","330","Yorktown High","Y","300"," ","300"
"2010-2011","8","Augusta County","210","Beverley Manor Elementary","N","314"," ","314"
"2010-2011","8","Augusta County","210","Beverley Manor Elementary","Y","27"," ","27"
"2010-2011","8","Augusta County","212","Beverley Manor Middle","N","691"," ","691"
"2010-2011","8","Augusta County","212","Beverley Manor Middle","Y","60"," ","60"
"2010-2011","8","Augusta County","660","Buffalo Gap High","N","511"," ","511"
"2010-2011","8","Augusta County","660","Buffalo Gap High","Y","60"," ","60"
"2010-2011","8","Augusta County","30","Cassell Elementary","N","452"," ","452"
"2010-2011","8","Augusta County","30","Cassell Elementary","Y","37"," ","37"
"2010-2011","8","Augusta County","140","Churchville Elementary","N","300"," ","300"
"2010-2011","8","Augusta County","140","Churchville Elementary","Y","32"," ","32"
"2010-2011","8","Augusta County","370","Craigsville Elementary","N","136"," ","136"
"2010-2011","8","Augusta County","370","Craigsville Elementary","Y","22"," ","22"
"2010-2011","8","Augusta County","842","Edward G. Clymore Elementary","N","642"," ","642"
