"School Year","Division Number","Division Name","English Learners include Former ELs","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2021-2022","88","Spotsylvania County","Y"," ","228","247","222","205","245","183","188","124","92","141","90","95","71","2,131"," ","2,131"
"2021-2022","89","Stafford County","N","527","1,791","1,774","1,748","1,797","1,826","1,913","1,947","2,120","2,235","2,588","2,397","2,170","2,359","27,192","17","27,209"
"2021-2022","89","Stafford County","Y"," ","293","264","290","291","324","318","317","276","284","203","143","141","120","3,264"," ","3,264"
"2021-2022","126","Staunton City","N","114","199","177","203","176","184","197","164","186","225","186","210","220","202","2,643"," ","2,643"
"2021-2022","126","Staunton City","Y"," ","10","10","<","<","<","11","12","<","<","<","<","<","<","97"," ","97"
"2021-2022","127","Suffolk City","N","401","992","965","986","935","1,012","1,025","1,042","1,057","1,105","1,495","1,064","964","857","13,900"," ","13,900"
"2021-2022","127","Suffolk City","Y"," ","<","16","11","10","12","<","17","13","11","21","<","<","<","148"," ","148"
"2021-2022","90","Surry County","N","23","41","32","41","50","53","44","57","46","39","63","62","50","53","654"," ","654"
"2021-2022","90","Surry County","Y"," "," "," "," "," "," "," ","<","<","<"," "," "," "," ","<"," ","<"
"2021-2022","91","Sussex County","N","22","57","64","68","80","65","77","64","84","71","99","75","66","70","962"," ","962"
"2021-2022","91","Sussex County","Y"," "," "," ","<"," ","<"," ","<","<","<","<","<"," "," ","13"," ","13"
"2021-2022","92","Tazewell County","N","155","409","429","375","354","373","398","388","398","433","469","420","414","401","5,416"," ","5,416"
"2021-2022","92","Tazewell County","Y"," "," "," "," "," "," "," "," "," ","<"," ","<"," ","<","<"," ","<"
"2021-2022","128","Virginia Beach City","N","1,378","4,387","4,452","4,611","4,536","4,468","4,567","4,647","4,841","4,955","5,368","5,088","4,806","4,821","62,925"," ","62,925"
"2021-2022","128","Virginia Beach City","Y"," ","204","220","270","259","268","235","231","210","187","160","142","107","80","2,573"," ","2,573"
"2021-2022","93","Warren County","N","161","338","326","342","349","330","342","321","359","402","483","413","390","390","4,946","<","4,948"
"2021-2022","93","Warren County","Y"," ","15","17","13","22","21","22","26","21","12","17","14","12","12","224"," ","224"
"2021-2022","94","Washington County","N","233","462","443","434","457","487","437","505","510","523","570","544","521","540","6,666","<","6,669"
"2021-2022","94","Washington County","Y"," ","<","<","<","11","10","<","<","<","<"," ","<","<","<","66"," ","66"
"2021-2022","130","Waynesboro City","N","145","216","191","217","176","177","182","194","212","224","259","194","189","187","2,763","<","2,764"
"2021-2022","130","Waynesboro City","Y"," ","19","21","20","19","24","26","20","20","24","23","14","17","11","258"," ","258"
"2021-2022","207","West Point","N","<","61","52","57","53","69","55","49","45","82","67","80","61","66","805"," ","805"
"2021-2022","207","West Point","Y"," "," ","<","<","<","<","<"," "," ","<"," "," ","<"," ","<"," ","<"
"2021-2022","95","Westmoreland County","N","65","117","110","86","81","102","89","101","91","109","138","104","101","117","1,411"," ","1,411"
"2021-2022","95","Westmoreland County","Y"," ","<","<","12","16","11","<","<","10","14","11","<","<","<","120"," ","120"
"2021-2022","131","Williamsburg-James City County","N","70","706","665","750","710","722","802","772","778","823","966","904","801","902","10,371","234","10,605"
"2021-2022","131","Williamsburg-James City County","Y"," ","57","59","53","62","62","77","64","73","75","49","28","32","26","717"," ","717"
"2021-2022","132","Winchester City","N","142","204","177","181","168","200","186","185","189","243","311","277","273","249","2,985"," ","2,985"
"2021-2022","132","Winchester City","Y"," ","93","88","107","120","108","108","110","106","85","93","47","44","49","1,158"," ","1,158"
"2021-2022","96","Wise County","N","298","383","476","527","401","371","370","426","427","430","453","369","415","402","5,748"," ","5,748"
"2021-2022","96","Wise County","Y","<","<"," "," ","<","<","<","<","<","<"," "," "," ","<","17"," ","17"
"2021-2022","97","Wythe County","N","110","280","261","255","289","283","260","275","292","291","336","317","286","286","3,821","<","3,823"
"2021-2022","97","Wythe County","Y"," "," ","<"," ","<"," ","<","<"," ","<"," ","<","<"," ","10"," ","10"
"2021-2022","98","York County","N"," ","784","820","917","895","888","905","883","891","1,013","1,010","969","1,008","963","11,946","311","12,257"
"2021-2022","98","York County","Y"," ","29","55","54","60","62","60","73","52","40","40","36","27","20","608","<","617"
