"School Year","Division Number","Division Name","English Learners include Former ELs","Grade PK","Grade KG","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2021-2022","103","Buena Vista City","Y"," "," "," "," "," "," "," "," "," "," "," ","<"," "," ","<"," ","<"
"2021-2022","16","Campbell County","N","293","534","551","495","543","515","518","580","525","615","673","588","522","611","7,563"," ","7,563"
"2021-2022","16","Campbell County","Y"," ","20","25","26","29","25","27","23","25","26","20","21","11","13","291"," ","291"
"2021-2022","17","Caroline County","N","119","302","302","306","304","302","327","313","302","314","329","302","288","273","4,083"," ","4,083"
"2021-2022","17","Caroline County","Y"," ","11","13","16","14","19","13","12","15","16","<","<","<","<","155"," ","155"
"2021-2022","18","Carroll County","N","133","235","240","238","249","233","233","232","263","262","270","240","250","241","3,319","<","3,321"
"2021-2022","18","Carroll County","Y","<","13","18","12","13","20","17","16","13","20","17","14","12","<","198"," ","198"
"2021-2022","19","Charles City County","N","19","37","35","43","32","44","38","44","43","29","43","37","49","34","527"," ","527"
"2021-2022","19","Charles City County","Y"," "," "," "," "," "," "," "," "," "," "," "," ","<"," ","<"," ","<"
"2021-2022","20","Charlotte County","N","64","142","117","115","108","140","120","116","130","129","135","119","122","129","1,686"," ","1,686"
"2021-2022","20","Charlotte County","Y"," ","<"," ","<","<","<","<","<","<","<","<"," "," ","<","16"," ","16"
"2021-2022","104","Charlottesville City","N","215","264","279","260","297","285","239","249","224","260","332","257","252","249","3,662","<","3,664"
"2021-2022","104","Charlottesville City","Y"," ","38","43","55","45","54","62","73","53","62","37","44","37","23","626"," ","626"
"2021-2022","136","Chesapeake City","N","780","2,574","2,722","2,655","2,605","2,873","2,756","2,949","3,040","3,091","3,457","3,191","3,152","3,200","39,045"," ","39,045"
"2021-2022","136","Chesapeake City","Y"," ","148","118","145","136","129","118","135","109","112","94","71","69","49","1,433"," ","1,433"
"2021-2022","21","Chesterfield County","N","910","3,765","3,787","3,827","3,988","3,880","3,980","4,068","4,219","4,202","4,681","4,436","4,192","4,616","54,551","54","54,605"
"2021-2022","21","Chesterfield County","Y"," ","562","554","580","628","510","692","734","702","684","755","657","551","285","7,894","<","7,895"
"2021-2022","22","Clarke County","N","28","120","108","98","103","95","129","112","132","144","176","183","143","162","1,733","<","1,735"
"2021-2022","22","Clarke County","Y"," ","<","<","10","12","10","11","11","<","<","<","<","<","<","100"," ","100"
"2021-2022","202","Colonial Beach","N","32","49","39","37","46","44","40","49","47","48","43","49","36","51","610"," ","610"
"2021-2022","202","Colonial Beach","Y"," ","<"," ","<","<","<","<"," ","<","<","<","<","<","<","15"," ","15"
"2021-2022","106","Colonial Heights City","N","76","192","203","169","220","193","164","198","187","214","237","185","179","201","2,618"," ","2,618"
"2021-2022","106","Colonial Heights City","Y"," ","12","<","16","15","18","13","21","15","19","21","<","<","<","168"," ","168"
"2021-2022","107","Covington City","N","26","71","73","75","70","86","63","76","73","95","76","56","60","59","959","<","962"
"2021-2022","107","Covington City","Y"," "," "," "," "," "," "," ","<"," ","<"," "," "," "," ","<"," ","<"
"2021-2022","23","Craig County","N","11","35","28","30","45","39","25","43","33","44","56","35","40","48","512"," ","512"
"2021-2022","23","Craig County","Y"," "," "," "," "," "," "," "," ","<"," "," "," "," "," ","<"," ","<"
"2021-2022","24","Culpeper County","N","159","470","436","501","478","493","484","507","519","538","688","612","535","609","7,029"," ","7,029"
"2021-2022","24","Culpeper County","Y"," ","94","103","131","95","125","100","105","127","140","163","59","60","35","1,337"," ","1,337"
"2021-2022","25","Cumberland County","N","76","77","75","88","88","82","79","76","79","99","117","83","98","63","1,180"," ","1,180"
"2021-2022","25","Cumberland County","Y"," "," "," ","<","<","<","<"," ","<","<","<","<","<","<","28"," ","28"
"2021-2022","108","Danville City","N","253","353","406","405","389","409","406","378","440","383","546","413","348","277","5,406"," ","5,406"
"2021-2022","108","Danville City","Y"," ","26","19","44","45","31","37","33","34","19","20","<","<","<","330"," ","330"
"2021-2022","26","Dickenson County","N","82","138","135","132","155","155","143","121","159","142","169","151","146","134","1,962"," ","1,962"
"2021-2022","26","Dickenson County","Y"," "," "," "," "," "," "," "," "," ","<","<","<"," "," ","<"," ","<"
"2021-2022","27","Dinwiddie County","N","84","311","277","297","301","307","313","285","308","309","352","325","288","308","4,065"," ","4,065"
"2021-2022","27","Dinwiddie County","Y","<","<","12","18","10","12","10","17","<","13","<","<","<","<","124"," ","124"
"2021-2022","28","Essex County","N","36","126","140","134","69","78","73","87","108","102","98","92","98","103","1,344"," ","1,344"
"2021-2022","28","Essex County","Y"," "," ","<","10","<","<","<","<","<","<","<","<","<","<","49"," ","49"
"2021-2022","29","Fairfax County","N","3,889","8,637","8,756","8,373","8,528","7,998","8,504","8,704","9,166","10,464","12,063","12,356","12,258","12,679","132,375","29","132,404"
"2021-2022","29","Fairfax County","Y"," ","3,405","3,144","4,251","4,231","4,653","4,624","4,309","4,202","3,748","2,830","2,188","2,473","2,172","46,230","<","46,231"
"2021-2022","109","Falls Church City","N","54","143","132","168","148","152","162","163","157","215","209","195","187","215","2,300"," ","2,300"
"2021-2022","109","Falls Church City","Y"," ","14","18","11","17","22","17","19","19","13","14","10","<","10","193"," ","193"
"2021-2022","30","Fauquier County","N","147","665","648","643","610","662","678","695","702","805","849","850","851","968","9,773","<","9,774"
"2021-2022","30","Fauquier County","Y"," ","99","77","104","111","96","107","83","103","99","86","56","35","44","1,100"," ","1,100"
"2021-2022","31","Floyd County","N","64","107","120","114","121","109","116","127","111","145","165","138","130","161","1,728"," ","1,728"
"2021-2022","31","Floyd County","Y"," ","<","<","<"," ","<","<","<","<","<","<","<","<","<","48"," ","48"
"2021-2022","32","Fluvanna County","N","57","194","187","211","208","228","230","221","271","275","292","305","269","277","3,225"," ","3,225"
"2021-2022","32","Fluvanna County","Y"," ","<","<","<","<","<","<","<","13","<","<","<","<","<","91"," ","91"
"2021-2022","135","Franklin City","N","46","68","63","69","65","73","74","78","70","79","84","80","53","76","978"," ","978"
"2021-2022","135","Franklin City","Y"," "," "," ","<","<"," ","<","<","<","<"," ","<"," ","<","14"," ","14"
"2021-2022","33","Franklin County","N","247","425","413","409","457","433","415","441","495","498","555","470","448","431","6,137","<","6,138"
"2021-2022","33","Franklin County","Y"," ","18","13","11","12","28","18","23","20","18","10","<","<","<","182"," ","182"
"2021-2022","34","Frederick County","N","130","932","874","852","881","869","863","899","925","1,007","1,234","1,043","994","1,046","12,549","<","12,550"
"2021-2022","34","Frederick County","Y"," ","98","86","116","100","137","129","135","143","138","94","56","52","42","1,326"," ","1,326"
"2021-2022","110","Fredericksburg City","N","142","217","220","225","206","200","206","186","200","213","273","204","193","216","2,901"," ","2,901"
"2021-2022","110","Fredericksburg City","Y"," ","51","51","79","80","75","63","59","65","59","57","25","33","26","723"," ","723"
"2021-2022","111","Galax City","N","64","85","73","75","80","79","73","83","86","82","100","76","65","75","1,096","<","1,097"
"2021-2022","111","Galax City","Y"," ","15","17","27","25","25","24","22","29","16","27","10","14","<","258"," ","258"
"2021-2022","35","Giles County","N","66","224","180","188","365","379","296","330","369","378","172","228","160","183","3,518","<","3,521"
"2021-2022","35","Giles County","Y"," ","<"," "," "," ","<"," ","<"," "," ","<","<","<"," ","10"," ","10"
"2021-2022","36","Gloucester County","N","121","330","342","360","350","370","357","367","419","423","405","356","356","403","4,959","17","4,976"
"2021-2022","36","Gloucester County","Y"," ","<","<","<","<","<","15","<","<","<","<","<","<","<","77"," ","77"
"2021-2022","37","Goochland County","N","95","144","149","164","167","198","171","177","177","222","216","215","205","212","2,512"," ","2,512"
"2021-2022","37","Goochland County","Y"," ","<","<","<","<","<","<","10","12","11","<","<","<","<","84"," ","84"
"2021-2022","38","Grayson County","N","41","132","93","121","127","106","125","112","94","113","138","114","118","81","1,515"," ","1,515"
"2021-2022","38","Grayson County","Y"," ","<"," ","<","<"," "," ","<","<","<"," ","<"," "," ","15"," ","15"
"2021-2022","39","Greene County","N","45","167","179","205","167","185","185","194","237","219","241","255","190","210","2,679"," ","2,679"
"2021-2022","39","Greene County","Y"," ","13","15","22","13","16","18","24","22","16","20","15","12","12","218"," ","218"
"2021-2022","40","Greensville County","N","83","145","111","156","140","133","157","126","157","186","143","151","139","136","1,963"," ","1,963"
"2021-2022","40","Greensville County","Y"," ","10","<","<","<","<","<","<","<","<","<","<","<","<","74"," ","74"
"2021-2022","41","Halifax County","N","271","359","317","302","318","277","265","308","333","359","365","387","335","323","4,519","<","4,523"
"2021-2022","41","Halifax County","Y"," ","<","<","<","<","<","<","<","<","11","<","<","<","<","69","<","70"
"2021-2022","112","Hampton City","N","670","1,420","1,307","1,387","1,392","1,352","1,330","1,454","1,429","1,501","1,827","1,512","1,392","1,214","19,187"," ","19,187"
"2021-2022","112","Hampton City","Y"," ","29","29","43","37","55","43","53","36","26","35","18","19","<","432"," ","432"
"2021-2022","42","Hanover County","N","227","1,053","1,093","1,100","1,139","1,129","1,204","1,202","1,285","1,312","1,410","1,403","1,374","1,415","16,346"," ","16,346"
"2021-2022","42","Hanover County","Y"," ","53","40","52","53","52","47","40","47","43","30","23","19","20","519"," ","519"
"2021-2022","113","Harrisonburg City","N","338","266","224","218","244","274","230","220","209","258","325","340","282","345","3,773","<","3,774"
"2021-2022","113","Harrisonburg City","Y"," ","230","285","254","247","245","254","242","249","249","219","148","137","127","2,886"," ","2,886"
