"School Year","Division Number","Division Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2012-2013","15","Buckingham County","2,121"," ","2,121"
"2012-2013","103","Buena Vista City","1,057"," ","1,057"
"2012-2013","16","Campbell County","8,391","1","8,392"
"2012-2013","17","Caroline County","4,340"," ","4,340"
"2012-2013","18","Carroll County","4,355"," ","4,355"
"2012-2013","19","Charles City County","768"," ","768"
"2012-2013","20","Charlotte County","2,050"," ","2,050"
"2012-2013","104","Charlottesville City","4,236"," ","4,236"
"2012-2013","136","Chesapeake City","39,630","14","39,644"
"2012-2013","21","Chesterfield County","58,859","27","58,886"
"2012-2013","22","Clarke County","2,062","11","2,073"
"2012-2013","202","Colonial Beach","644"," ","644"
"2012-2013","106","Colonial Heights City","2,831"," ","2,831"
"2012-2013","107","Covington City","982"," ","982"
"2012-2013","23","Craig County","694"," ","694"
"2012-2013","24","Culpeper County","7,854","11","7,865"
"2012-2013","25","Cumberland County","1,419"," ","1,419"
"2012-2013","108","Danville City","6,362"," ","6,362"
"2012-2013","26","Dickenson County","2,394"," ","2,394"
"2012-2013","27","Dinwiddie County","4,447"," ","4,447"
"2012-2013","28","Essex County","1,598"," ","1,598"
"2012-2013","29","Fairfax County","180,616","13","180,629"
"2012-2013","109","Falls Church City","2,274"," ","2,274"
"2012-2013","30","Fauquier County","11,065","2","11,067"
"2012-2013","31","Floyd County","2,034"," ","2,034"
"2012-2013","32","Fluvanna County","3,775","1","3,776"
"2012-2013","135","Franklin City","1,266"," ","1,266"
"2012-2013","33","Franklin County","7,520"," ","7,520"
"2012-2013","34","Frederick County","13,163"," ","13,163"
"2012-2013","110","Fredericksburg City","3,359"," ","3,359"
"2012-2013","111","Galax City","1,322"," ","1,322"
"2012-2013","35","Giles County","2,448"," ","2,448"
"2012-2013","36","Gloucester County","5,632"," ","5,632"
"2012-2013","37","Goochland County","2,351"," ","2,351"
"2012-2013","38","Grayson County","1,853"," ","1,853"
"2012-2013","39","Greene County","3,003","7","3,010"
"2012-2013","40","Greensville County","2,551"," ","2,551"
"2012-2013","41","Halifax County","5,709"," ","5,709"
"2012-2013","112","Hampton City","21,350","2","21,352"
"2012-2013","42","Hanover County","18,370"," ","18,370"
"2012-2013","113","Harrisonburg City","5,211","1","5,212"
"2012-2013","43","Henrico County","50,083"," ","50,083"
"2012-2013","44","Henry County","7,465"," ","7,465"
"2012-2013","45","Highland County","205"," ","205"
"2012-2013","114","Hopewell City","4,208"," ","4,208"
"2012-2013","46","Isle of Wight County","5,566"," ","5,566"
"2012-2013","48","King George County","4,258","1","4,259"
"2012-2013","50","King William County","2,217"," ","2,217"
"2012-2013","49","King and Queen County","908"," ","908"
"2012-2013","51","Lancaster County","1,332"," ","1,332"
"2012-2013","52","Lee County","3,418"," ","3,418"
"2012-2013","137","Lexington City","532"," ","532"
"2012-2013","53","Loudoun County","68,205","24","68,229"
"2012-2013","54","Louisa County","4,732"," ","4,732"
"2012-2013","55","Lunenburg County","1,580"," ","1,580"
"2012-2013","115","Lynchburg City","8,576"," ","8,576"
"2012-2013","56","Madison County","1,893"," ","1,893"
"2012-2013","143","Manassas City","7,276"," ","7,276"
"2012-2013","144","Manassas Park City","3,123"," ","3,123"
"2012-2013","116","Martinsville City","2,271"," ","2,271"
"2012-2013","57","Mathews County","1,183"," ","1,183"
"2012-2013","58","Mecklenburg County","4,678"," ","4,678"
"2012-2013","59","Middlesex County","1,182","3","1,185"
"2012-2013","60","Montgomery County","9,742"," ","9,742"
"2012-2013","62","Nelson County","1,992","1","1,993"
"2012-2013","63","New Kent County","3,001"," ","3,001"
"2012-2013","117","Newport News City","29,786"," ","29,786"
"2012-2013","118","Norfolk City","32,862"," ","32,862"
"2012-2013","65","Northampton County","1,721"," ","1,721"
"2012-2013","66","Northumberland County","1,473"," ","1,473"
"2012-2013","119","Norton City","891"," ","891"
"2012-2013","67","Nottoway County","2,351"," ","2,351"
"2012-2013","68","Orange County","5,186","3","5,189"
"2012-2013","69","Page County","3,624"," ","3,624"
"2012-2013","70","Patrick County","2,645","1","2,646"
"2012-2013","120","Petersburg City","4,434"," ","4,434"
"2012-2013","71","Pittsylvania County","9,311"," ","9,311"
"2012-2013","142","Poquoson City","2,175","23","2,198"
"2012-2013","121","Portsmouth City","15,256"," ","15,256"
"2012-2013","72","Powhatan County","4,321","4","4,325"
"2012-2013","73","Prince Edward County","2,320"," ","2,320"
"2012-2013","74","Prince George County","6,425"," ","6,425"
"2012-2013","75","Prince William County","83,865","12","83,877"
"2012-2013","77","Pulaski County","4,520"," ","4,520"
"2012-2013","122","Radford City","1,570"," ","1,570"
"2012-2013","78","Rappahannock County","916"," ","916"
"2012-2013","123","Richmond City","23,649"," ","23,649"
"2012-2013","79","Richmond County","1,171"," ","1,171"
"2012-2013","124","Roanoke City","13,322","24","13,346"
"2012-2013","80","Roanoke County","14,369"," ","14,369"
"2012-2013","81","Rockbridge County","2,815","1","2,816"
"2012-2013","82","Rockingham County","11,787","13","11,800"
"2012-2013","83","Russell County","4,410"," ","4,410"
"2012-2013","139","Salem City","3,850"," ","3,850"
"2012-2013","84","Scott County","3,917"," ","3,917"
"2012-2013","85","Shenandoah County","6,170","7","6,177"
"2012-2013","86","Smyth County","4,845"," ","4,845"
"2012-2013","87","Southampton County","2,890"," ","2,890"
"2012-2013","88","Spotsylvania County","23,768"," ","23,768"
"2012-2013","89","Stafford County","27,463","12","27,475"
"2012-2013","126","Staunton City","2,694"," ","2,694"
"2012-2013","127","Suffolk City","14,421"," ","14,421"
"2012-2013","90","Surry County","902"," ","902"
"2012-2013","91","Sussex County","1,139"," ","1,139"
"2012-2013","92","Tazewell County","6,464"," ","6,464"
"2012-2013","128","Virginia Beach City","70,259"," ","70,259"
"2012-2013","93","Warren County","5,498","9","5,507"
"2012-2013","94","Washington County","7,383","3","7,386"
"2012-2013","130","Waynesboro City","3,248","8","3,256"
"2012-2013","207","West Point","768"," ","768"
"2012-2013","95","Westmoreland County","1,690"," ","1,690"
